,IPO year,country,market capital,name,subsector,symbol
0,n/a,UnitedStates,$153.7M,AcaciaResearchCorporation,Multi-SectorCompanies,ACTG
1,n/a,UnitedStates,$2.9B,"AcadiaHealthcareCompany,Inc.",MedicalSpecialities,ACHC
2,1985,UnitedStates,$3.58B,ACADIAPharmaceuticalsInc.,MajorPharmaceuticals,ACAD
3,n/a,UnitedStates,$2.25B,AcadiaRealtyTrust,RealEstateInvestmentTrusts,AKR
4,2019,UnitedStates,$372.42M,AcamarPartnersAcquisitionCorp.,BusinessServices,ACAM
5,2019,UnitedStates,n/a,AcamarPartnersAcquisitionCorp.,BusinessServices,ACAMU
6,2019,UnitedStates,n/a,AcamarPartnersAcquisitionCorp.,BusinessServices,ACAMW
7,n/a,Canada,$67.96M,"AcastiPharma,Inc.",MajorPharmaceuticals,ACST
8,n/a,UnitedStates,$1.02B,"AccelerateDiagnostics,Inc.",Biotechnology:LaboratoryAnalyticalInstruments,AXDX
9,2013,UnitedStates,$2.14B,AcceleronPharmaInc.,Biotechnology:BiologicalProducts(NoDiagnosticSubstances),XLRN
10,2001,Ireland,$114.06B,Accentureplc,BusinessServices,ACN
11,n/a,UnitedStates,$767.71M,AccoBrandsCorporation,Publishing,ACCO
12,2007,UnitedStates,$327.45M,AccurayIncorporated,Medical/DentalInstruments,ARAY
13,2011,UnitedStates,$209.91M,"AcelRxPharmaceuticals,Inc.",MajorPharmaceuticals,ACRX
14,n/a,UnitedStates,$176.23M,AcerTherapeuticsInc.,MajorPharmaceuticals,ACER
15,n/a,UnitedStates,$29.04M,"AchieveLifeSciences,Inc.",Biotechnology:InVitro&InVivoDiagnosticSubstances,ACHV
16,2006,UnitedStates,$396.75M,"AchillionPharmaceuticals,Inc.",MajorPharmaceuticals,ACHN
17,n/a,UnitedStates,$3.55B,"ACIWorldwide,Inc.",ComputerSoftware:PrepackagedSoftware,ACIW
18,2015,UnitedStates,$201M,"AclarisTherapeutics,Inc.",MajorPharmaceuticals,ACRS
19,2017,UnitedStates,$304.94M,"ACMResearch,Inc.",IndustrialMachinery/Components,ACMR
20,1988,UnitedStates,$63.36M,AcmeUnitedCorporation.,IndustrialMachinery/Components,ACU
21,n/a,UnitedStates,$258.23M,ACNBCorporation,MajorBanks,ACNB
22,2006,UnitedStates,$451.17M,"AcordaTherapeutics,Inc.",Biotechnology:BiologicalProducts(NoDiagnosticSubstances),ACOR
23,2007,China,$68.81M,"AcornInternational,Inc.",OtherSpecialtyStores,ATV
24,2019,UnitedStates,$291M,ActIIGlobalAcquisitionCorp.,BusinessServices,ACTT
25,2019,UnitedStates,n/a,ActIIGlobalAcquisitionCorp.,BusinessServices,ACTTU
26,2019,UnitedStates,$15.23M,ActIIGlobalAcquisitionCorp.,BusinessServices,ACTTW
27,n/a,UnitedStates,$48.42M,"ActiniumPharmaceuticals,Inc.",MajorPharmaceuticals,ATNM
28,n/a,UnitedStates,$33.37B,"ActivisionBlizzard,Inc",ComputerSoftware:PrepackagedSoftware,ATVI
29,n/a,UnitedStates,$1.39B,ActuantCorporation,IndustrialMachinery/Components,ATU
30,n/a,UnitedStates,$5.31B,"AcuityBrands,Inc.",BuildingProducts,AYI
31,2016,UnitedStates,$1.82B,AcushnetHoldingsCorp.,RecreationalProducts/Toys,GOLF
32,2014,UnitedStates,$126.93M,"AdamasPharmaceuticals,Inc.",MajorPharmaceuticals,ADMS
33,n/a,UnitedStates,$71.16M,AdamisPharmaceuticalsCorporation,MajorPharmaceuticals,ADMP
34,n/a,UnitedStates,$1.56B,"AdamsDiversifiedEquityFund,Inc.",n/a,ADX
35,n/a,UnitedStates,$455.12M,"AdamsNaturalResourcesFund,Inc.",n/a,PEO
36,n/a,UnitedStates,$145.52M,"AdamsResources&Energy,Inc.",OilRefining/Marketing,AE
37,2015,UnitedKingdom,$356.07M,AdaptimmuneTherapeuticsplc,Biotechnology:BiologicalProducts(NoDiagnosticSubstances),ADAP
38,2009,UnitedStates,$913.16M,AddusHomeCareCorporation,Medical/NursingServices,ADUS
39,n/a,UnitedStates,$14.51M,"ADDvantageTechnologiesGroup,Inc.",OfficeEquipment/Supplies/Services,AEY
40,2011,Luxembourg,$784.42M,AdecoagroS.A.,Farming/Seeds/Milling,AGRO
41,2015,UnitedStates,$229.44M,AdestoTechnologiesCorporation,Semiconductors,IOTS
42,2018,UnitedStates,$21.36M,"AdialPharmaceuticals,Inc",MajorPharmaceuticals,ADIL
43,2018,UnitedStates,n/a,"AdialPharmaceuticals,Inc",MajorPharmaceuticals,ADILW
44,2016,n/a,$1.68B,Adientplc,AutoParts:O.E.M.,ADNT
45,n/a,UnitedStates,$259.81M,ADMABiologicsInc,Biotechnology:BiologicalProducts(NoDiagnosticSubstances),ADMA
46,1986,UnitedStates,$133.95B,AdobeInc.,ComputerSoftware:PrepackagedSoftware,ADBE
47,2017,UnitedStates,$23.95M,"ADOMANI,Inc.",AutoParts:O.E.M.,ADOM
48,2018,UnitedStates,$4.63B,ADTInc.,DiversifiedCommercialServices,ADT
49,n/a,UnitedStates,$2.49B,AdtalemGlobalEducationInc.,OtherConsumerServices,ATGE
50,1994,UnitedStates,$766.38M,"ADTRAN,Inc.",TelecommunicationsEquipment,ADTN
51,2015,UnitedStates,$248.13M,"AduroBiotech,Inc.",MajorPharmaceuticals,ADRO
52,n/a,UnitedStates,$11.43B,AdvanceAutoPartsInc,OtherSpecialtyStores,AAP
53,2016,UnitedStates,$2.85B,"AdvancedDisposalServices,Inc.",EnvironmentalServices,ADSW
54,2014,UnitedStates,$1.68B,"AdvancedDrainageSystems,Inc.",Containers/Packaging,WMS
55,n/a,UnitedStates,$221.74M,"AdvancedEmissionsSolutions,Inc.",MajorChemicals,ADES
56,1995,UnitedStates,$1.95B,"AdvancedEnergyIndustries,Inc.",IndustrialMachinery/Components,AEIS
57,n/a,UnitedStates,$30.32B,"AdvancedMicroDevices,Inc.",Semiconductors,AMD
58,2016,UnitedStates,$714.48M,AdvanSixInc.,MajorChemicals,ASIX
59,n/a,UnitedStates,$21.38M,"Advaxis,Inc.",MajorPharmaceuticals,ADXS
60,2003,UnitedStates,$496.82M,AdventClaymoreConvertibleSecuritiesandIncomeFund,n/a,AVK
61,2014,UnitedStates,$640.69M,"AdverumBiotechnologies,Inc.",Biotechnology:BiologicalProducts(NoDiagnosticSubstances),ADVM
62,n/a,UnitedStates,$3.29M,AdvisorSharesDorseyWrightMicro-CapETF,n/a,DWMC
63,n/a,UnitedStates,$17.62M,AdvisorSharesDorseyWrightShortETF,n/a,DWSH
64,n/a,UnitedStates,$2.6M,AdvisorSharesSabretoothETF,n/a,BKCH
65,n/a,UnitedStates,$12.74M,AdvisorSharesViceETF,n/a,ACT
66,n/a,UnitedStates,$35.61M,"Adynxx,Inc.",Medical/DentalInstruments,ADYX
67,2007,UnitedStates,$4.95B,AECOM,Military/Government/Technical,ACM
68,n/a,UnitedStates,$453.21M,AegionCorp,WaterSupply,AEGN
69,2016,UnitedStates,$188.09M,"AegleaBioTherapeutics,Inc.",MajorPharmaceuticals,AGLE
70,n/a,Netherlands,n/a,AegonNV,LifeInsurance,AEB
71,n/a,Netherlands,n/a,AegonNV,n/a,AED.CL
72,n/a,Netherlands,$9.44B,AegonNV,LifeInsurance,AEG
73,n/a,Netherlands,n/a,AegonNV,LifeInsurance,AEH
74,1997,UnitedStates,$39.71M,AehrTestSystems,ElectricalProducts,AEHR
