,IPO year,country,market capital,name,subsector,symbol
0,n/a,UnitedStates,n/a,BankofAmericaCorporation,n/a,BAC^B
1,n/a,UnitedStates,n/a,BankofAmericaCorporation,n/a,BAC^C
2,n/a,UnitedStates,n/a,BankofAmericaCorporation,n/a,BAC^E
3,n/a,UnitedStates,n/a,BankofAmericaCorporation,n/a,BAC^K
4,n/a,UnitedStates,n/a,BankofAmericaCorporation,n/a,BAC^L
5,n/a,UnitedStates,n/a,BankofAmericaCorporation,MajorBanks,BAC^W
6,n/a,UnitedStates,n/a,BankofAmericaCorporation,MajorBanks,BAC^Y
7,n/a,UnitedStates,n/a,BankofAmericaCorporation,n/a,BML^G
8,n/a,UnitedStates,n/a,BankofAmericaCorporation,n/a,BML^H
9,n/a,UnitedStates,n/a,BankofAmericaCorporation,n/a,BML^J
10,n/a,UnitedStates,n/a,BankofAmericaCorporation,n/a,BML^L
11,n/a,UnitedStates,$187.42M,BankofCommerceHoldings(CA),MajorBanks,BOCH
12,n/a,UnitedStates,$3.14B,BankofHawaiiCorporation,MajorBanks,BOH
13,n/a,UnitedStates,$564.24M,BankofMarinBancorp,MajorBanks,BMRC
14,n/a,Canada,$48.22M,BankOfMontreal,CommercialBanks,BMLP
15,n/a,Canada,$46.95B,BankOfMontreal,CommercialBanks,BMO
16,2016,Bermuda,$1.91B,BankofN.T.Butterfield&SonLimited(The),CommercialBanks,NTB
17,n/a,UnitedStates,$41.41B,BankOfNewYorkMellonCorporation(The),MajorBanks,BK
18,n/a,UnitedStates,n/a,BankOfNewYorkMellonCorporation(The),n/a,BK^C
19,n/a,Canada,$62.82B,BankofNovaScotia(The),MajorBanks,BNS
20,n/a,UnitedStates,$98.14M,BankofSouthCarolinaCorp.,MajorBanks,BKSC
21,n/a,UnitedStates,$61.82M,"BankoftheJamesFinancialGroup,Inc.",MajorBanks,BOTJ
22,n/a,UnitedStates,$3.87B,BankOZK,MajorBanks,OZK
23,2018,UnitedStates,$177.77M,Bank7Corp.,MajorBanks,BSVN
24,n/a,UnitedStates,$218.33M,BankFinancialCorporation,SavingsInstitutions,BFIN
25,2011,UnitedStates,$3.26B,"BankUnited,Inc.",SavingsInstitutions,BKU
26,2014,UnitedStates,$227.07M,"BankwellFinancialGroup,Inc.",MajorBanks,BWFG
27,n/a,UnitedStates,$1.81B,BannerCorporation,MajorBanks,BANR
28,2015,China,$2.37B,BaozunInc.,Catalog/SpecialtyDistribution,BZUN
29,n/a,UnitedStates,$376.94M,"BarHarborBankshares,Inc.",MajorBanks,BHB
30,n/a,UnitedKingdom,$32.5B,BarclaysPLC,CommercialBanks,BCS
31,n/a,UnitedKingdom,$4.91M,BarclaysPLC,n/a,DFVL
32,n/a,UnitedKingdom,$3.95M,BarclaysPLC,n/a,DFVS
33,n/a,UnitedKingdom,$9.78M,BarclaysPLC,n/a,DLBS
