,IPO year,country,market capital,name,subsector,symbol
0,2017,n/a,$1.45B,DelphiTechnologiesPLC,AutoParts:O.E.M.,DLPH
1,n/a,UnitedStates,$34.72B,"DeltaAirLines,Inc.",AirFreight/DeliveryServices,DAL
2,n/a,UnitedStates,$149.39M,"DeltaApparel,Inc.",Apparel,DLA
3,n/a,UnitedStates,$1.61B,DeluxeCorporation,Publishing,DLX
4,2017,UnitedStates,$1.86B,DenaliTherapeuticsInc.,Biotechnology:BiologicalProducts(NoDiagnosticSubstances),DNLI
5,n/a,UnitedStates,$691.84M,DenburyResourcesInc.,Oil&GasProduction,DNR
6,n/a,Canada,$298.18M,DenisonMineCorp,PreciousMetals,DNN
7,n/a,UnitedStates,$1.18B,Denny'sCorporation,Restaurants,DENN
8,1987,UnitedStates,$12.52B,DENTSPLYSIRONAInc.,Medical/DentalInstruments,XRAY
9,2014,UnitedStates,$523.8M,"Dermira,Inc.",MajorPharmaceuticals,DERM
10,n/a,UnitedStates,$1.44B,DesignerBrandsInc.,Clothing/Shoe/AccessoryStores,DBI
11,2017,n/a,$846.06M,"Despegar.com,Corp.",TransportationServices,DESP
12,n/a,UnitedStates,$18.21M,DestinationMaternityCorporation,Clothing/Shoe/AccessoryStores,DEST
13,n/a,UnitedStates,$88.26M,"DestinationXLGroup,Inc.",Clothing/Shoe/AccessoryStores,DXLG
14,1995,Macau,$45.11M,"DeswellIndustries,Inc.",PlasticProducts,DSWL
15,n/a,UnitedStates,n/a,DeutschBkContingentCapTrV,MajorBanks,DKT
16,n/a,Germany,$14.26B,DeutscheBankAG,MajorBanks,DB
17,n/a,Germany,n/a,DeutscheBankAG,MajorBanks,DXB
18,n/a,UnitedStates,$10.7B,DevonEnergyCorporation,Oil&GasProduction,DVN
19,2005,UnitedStates,$10.92B,"DexCom,Inc.",Medical/DentalInstruments,DXCM
20,2018,UnitedStates,$314.09M,DFBHealthcareAcquisitionsCorp.,BusinessServices,DFBH
21,2018,UnitedStates,n/a,DFBHealthcareAcquisitionsCorp.,BusinessServices,DFBHU
22,2018,UnitedStates,n/a,DFBHealthcareAcquisitionsCorp.,BusinessServices,DFBHW
23,n/a,UnitedStates,$19.12M,"DGSECompanies,Inc.",ConsumerSpecialties,DGSE
24,2007,UnitedStates,$195.93M,"DHIGroup,Inc.",BusinessServices,DHX
25,2005,Jersey,$793.78M,"DHTHoldings,Inc.",MarineTransportation,DHT
26,n/a,Canada,$190.23M,DHXMediaLtd.,n/a,DHXM
27,n/a,UnitedKingdom,$100.63B,Diageoplc,Beverages(Production/Distribution),DEO
28,2018,UnitedStates,$34.56M,DiaMedicaTherapeuticsInc.,MajorPharmaceuticals,DMAC
29,2019,UnitedStates,$351.75M,DiamondEagleAcquisitionCorp.,BusinessServices,DEACU
30,n/a,UnitedStates,$505.66M,"DiamondHillInvestmentGroup,Inc.",InvestmentManagers,DHIL
31,1995,UnitedStates,$1.1B,"DiamondOffshoreDrilling,Inc.",Oil&GasProduction,DO
32,2019,n/a,$494.64M,DiamondSShippingInc.,TransportationServices,DSSI
33,2012,UnitedStates,$16.52B,"DiamondbackEnergy,Inc.",Oil&GasProduction,FANG
34,2019,UnitedStates,$343.35M,DiamondPeakHoldingsCorp.,BusinessServices,DPHC
35,2019,UnitedStates,n/a,DiamondPeakHoldingsCorp.,BusinessServices,DPHCU
36,2019,UnitedStates,n/a,DiamondPeakHoldingsCorp.,BusinessServices,DPHCW
37,2005,UnitedStates,$2.04B,DiamondrockHospitalityCompany,RealEstateInvestmentTrusts,DRH
38,2005,Greece,$323.64M,DianaShippinginc.,MarineTransportation,DSX
39,n/a,Greece,n/a,DianaShippinginc.,n/a,DSX^B
40,2014,UnitedStates,$871.81M,"DicernaPharmaceuticals,Inc.",MajorPharmaceuticals,DRNA
41,2002,UnitedStates,$3.25B,Dick'sSportingGoodsInc,OtherSpecialtyStores,DKS
42,n/a,UnitedStates,$696.99M,DieboldNixdorfIncorporated,OfficeEquipment/Supplies/Services,DBD
43,n/a,UnitedStates,$15.4M,DiffusionPharmaceuticalsInc.,MajorPharmaceuticals,DFFN
44,1989,UnitedStates,$329.42M,DigiInternationalInc.,ComputerCommunicationsEquipment,DGII
45,n/a,UnitedStates,$641.75M,DigimarcCorporation,EDPServices,DMRC
46,2004,UnitedStates,$12.83M,DigiradCorporation,Biotechnology:Electromedical&ElectrotherapeuticApparatus,DRAD
47,n/a,UnitedStates,$28.92M,"DigitalAlly,Inc.",RadioAndTelevisionBroadcastingAndCommunicationsEquipment,DGLY
48,2004,UnitedStates,$24.52B,"DigitalRealtyTrust,Inc.",RealEstateInvestmentTrusts,DLR
49,n/a,UnitedStates,n/a,"DigitalRealtyTrust,Inc.",n/a,DLR^C
50,n/a,UnitedStates,n/a,"DigitalRealtyTrust,Inc.",n/a,DLR^G
51,n/a,UnitedStates,n/a,"DigitalRealtyTrust,Inc.",n/a,DLR^I
52,n/a,UnitedStates,n/a,"DigitalRealtyTrust,Inc.",n/a,DLR^J
53,n/a,UnitedStates,n/a,"DigitalRealtyTrust,Inc.",n/a,DLR^K
54,n/a,UnitedStates,$297.78M,"DigitalTurbine,Inc.",Multi-SectorCompanies,APPS
55,n/a,UnitedStates,$1.47B,"Dillard's,Inc.",Department/SpecialtyRetailStores,DDS
56,n/a,UnitedStates,n/a,"Dillard's,Inc.",Department/SpecialtyRetailStores,DDT
57,n/a,UnitedStates,$644.33M,"DimeCommunityBancshares,Inc.",SavingsInstitutions,DCOM
58,n/a,UnitedStates,$1.59B,"DineBrandsGlobal,Inc.",Restaurants,DIN
59,n/a,UnitedStates,$1.6B,DiodesIncorporated,Semiconductors,DIOD
60,2014,UnitedStates,$342.19M,"DiplomatPharmacy,Inc.",Medical/NursingServices,DPLO
61,n/a,UnitedStates,$24.58B,DiscoverFinancialServices,Finance:ConsumerServices,DFS
62,n/a,UnitedStates,$14.24B,"Discovery,Inc.",TelevisionServices,DISCA
63,n/a,UnitedStates,$16.01B,"Discovery,Inc.",TelevisionServices,DISCB
64,n/a,UnitedStates,$13.45B,"Discovery,Inc.",TelevisionServices,DISCK
65,1995,UnitedStates,$8.02B,DISHNetworkCorporation,TelevisionServices,DISH
66,n/a,UnitedStates,$23.19M,DiversicareHealthcareServicesInc.,Hospital/NursingManagement,DVCR
67,n/a,UnitedStates,$28.9M,"DiversifiedRestaurantHoldings,Inc.",Restaurants,SAUC
68,n/a,UnitedStates,$138.24M,DividendandIncomeFund,n/a,DNI
69,n/a,UnitedStates,$58.98M,DLHHoldingsCorp.,ProfessionalServices,DLHC
70,n/a,UnitedStates,$1.04B,DMCGlobalInc.,IndustrialSpecialties,BOOM
71,n/a,UnitedStates,$184.07M,DNBFinancialCorp,MajorBanks,DNBF
72,n/a,UnitedStates,$18.36M,"DocumentSecuritySystems,Inc.",Containers/Packaging,DSS
73,2018,UnitedStates,$9.61B,"DocuSign,Inc.",ComputerSoftware:PrepackagedSoftware,DOCU
74,2017,China,$78M,Dogness(International)Corporation,Miscellaneousmanufacturingindustries,DOGZ
75,2005,UnitedStates,$3.98B,DolbyLaboratories,Multi-SectorCompanies,DLB
76,2009,UnitedStates,$32.92B,DollarGeneralCorporation,Department/SpecialtyRetailStores,DG
77,1995,UnitedStates,$23.45B,"DollarTree,Inc.",Department/SpecialtyRetailStores,DLTR
78,n/a,UnitedStates,$15.98M,"DolphinEntertainment,Inc.",OtherConsumerServices,DLPN
79,n/a,UnitedStates,n/a,"DolphinEntertainment,Inc.",OtherConsumerServices,DLPNW
80,n/a,UnitedStates,$59.62B,"DominionEnergy,Inc.",ElectricUtilities:Central,D
81,2016,UnitedStates,n/a,"DominionEnergy,Inc.",ElectricUtilities:Central,DCUD
82,2016,UnitedStates,n/a,"DominionEnergy,Inc.",ElectricUtilities:Central,DRUA
83,2004,UnitedStates,$11.4B,Domino'sPizzaInc,FoodDistributors,DPZ
84,2018,UnitedStates,$923.14M,"Domo,Inc.",ComputerSoftware:PrepackagedSoftware,DOMO
