,IPO year,country,market capital,name,subsector,symbol
0,n/a,UnitedStates,n/a,FGLHoldings,n/a,FG.WS
1,2014,UnitedKingdom,$26.48B,FiatChryslerAutomobilesN.V.,AutoManufacturing,FCAU
2,n/a,UnitedStates,$19.32M,FibrocellScienceInc.,MajorPharmaceuticals,FCSC
3,2014,UnitedStates,$3.12B,"FibroGen,Inc",MajorPharmaceuticals,FGEN
4,n/a,UnitedStates,$227.77M,"FidelityD&DBancorp,Inc.",MajorBanks,FDBC
5,n/a,UnitedStates,$1.99B,FidelityNasdaqCompositeIndexTrackingStock,n/a,ONEQ
6,2014,UnitedStates,$10.54B,"FidelityNationalFinancial,Inc.",SpecialtyInsurers,FNF
7,n/a,UnitedStates,$38.69B,"FidelityNationalInformationServices,Inc.",BusinessServices,FIS
8,n/a,UnitedStates,$791.28M,FidelitySouthernCorporation,MajorBanks,LION
9,2004,UnitedStates,$348.38M,Fiduciary/ClaymoreEnergyInfrastructureFund,n/a,FMO
10,2011,UnitedStates,$391.9M,FidusInvestmentCorporation,n/a,FDUS
11,n/a,UnitedStates,n/a,FidusInvestmentCorporation,n/a,FDUSL
12,n/a,UnitedStates,n/a,FidusInvestmentCorporation,n/a,FDUSZ
13,n/a,UnitedStates,$384.33M,"FiestaRestaurantGroup,Inc.",Restaurants,FRGI
14,n/a,UnitedStates,$19.69B,FifthThirdBancorp,MajorBanks,FITB
15,n/a,UnitedStates,$500.04M,FifthThirdBancorp,MajorBanks,FITBI
16,1999,UnitedStates,$435.41M,"FinancialInstitutions,Inc.",MajorBanks,FISI
17,1999,UnitedStates,$2.53B,FinisarCorporation,Semiconductors,FNSR
18,n/a,UnitedStates,$69.3M,"FinjanHoldings,Inc.",Multi-SectorCompanies,FNJN
19,2019,UnitedStates,$435.79M,FinTechAcquisitionCorp.III,BusinessServices,FTAC
20,2018,UnitedStates,n/a,FinTechAcquisitionCorp.III,BusinessServices,FTACU
21,2019,UnitedStates,n/a,FinTechAcquisitionCorp.III,BusinessServices,FTACW
22,2013,UnitedStates,$3.1B,"FireEye,Inc.",Computerperipheralequipment,FEYE
23,n/a,UnitedStates,$5.81B,FirstAmericanCorporation(The),SpecialtyInsurers,FAF
24,1987,UnitedStates,$1.06B,FirstBancorp,MajorBanks,FBNC
25,n/a,UnitedStates,$274.26M,"FirstBancorp,Inc(ME)",MajorBanks,FNLC
26,n/a,PuertoRico,$2.2B,FirstBanCorp.,MajorBanks,FBP
27,2013,UnitedStates,$210.83M,FirstBank,n/a,FRBA
28,n/a,UnitedStates,$1.38B,FirstBuseyCorporation,MajorBanks,BUSE
29,n/a,UnitedStates,$203.03M,"FirstBusinessFinancialServices,Inc.",MajorBanks,FBIZ
30,n/a,UnitedStates,$166.14M,"FirstCapital,Inc.",SavingsInstitutions,FCAP
31,n/a,UnitedStates,$253.99M,FirstChoiceBancorp,MajorBanks,FCBP
32,n/a,UnitedStates,$4.82B,"FirstCitizensBancShares,Inc.",MajorBanks,FCNCA
33,n/a,UnitedStates,$1.26B,FirstCommonwealthFinancialCorporation,MajorBanks,FCF
