,IPO year,country,market capital,name,subsector,symbol
0,n/a,UnitedStates,$939.99M,"GCILiberty,Inc.",TelecommunicationsEquipment,GLIBP
1,2016,n/a,$1.84B,GCPAppliedTechnologiesInc.,MajorChemicals,GCP
2,2016,China,$4.26B,GDSHoldingsLimited,"ComputerSoftware:Programming,DataProcessing",GDS
3,n/a,UnitedStates,$12.78M,GEEGroupInc.,DiversifiedCommercialServices,JOB
4,2016,UnitedStates,$11.08M,GemphireTherapeuticsInc.,MajorPharmaceuticals,GEMP
5,n/a,UnitedStates,$307.01M,GencoShipping&TradingLimited,MarineTransportation,GNK
6,n/a,UnitedStates,$159.37M,GencorIndustriesInc.,Construction/AgEquipment/Trucks,GENC
7,2010,UnitedStates,$3.48B,GeneracHoldlingsInc.,MetalFabrications,GNRC
8,n/a,UnitedStates,$853.05M,"GeneralAmericanInvestors,Inc.",n/a,GAM
9,n/a,UnitedStates,n/a,"GeneralAmericanInvestors,Inc.",n/a,GAM^B
10,n/a,UnitedStates,$46.86B,GeneralDynamicsCorporation,MarineTransportation,GD
11,n/a,UnitedStates,$82.59B,GeneralElectricCompany,ConsumerElectronics/Appliances,GE
12,n/a,UnitedStates,$234.99M,GeneralFinanceCorporation,DiversifiedCommercialServices,GFN
13,n/a,UnitedStates,$41.03M,GeneralFinanceCorporation,DiversifiedCommercialServices,GFNCP
14,n/a,UnitedStates,n/a,GeneralFinanceCorporation,DiversifiedCommercialServices,GFNSL
15,n/a,UnitedStates,$29.23B,"GeneralMills,Inc.",PackagedFoods,GIS
16,n/a,UnitedStates,$49.31M,"GeneralMoly,Inc",PreciousMetals,GMO
17,2010,UnitedStates,$50.55B,GeneralMotorsCompany,AutoManufacturing,GM
18,n/a,UnitedStates,n/a,GeneralMotorsCompany,n/a,GM.WS.B
19,n/a,UnitedStates,$698.27M,GenescoInc.,Clothing/Shoe/AccessoryStores,GCO
20,n/a,UnitedStates,$5.38B,"Genesee&Wyoming,Inc.",Railroads,GWR
21,1996,UnitedStates,$2.71B,"GenesisEnergy,L.P.",OilRefining/Marketing,GEL
22,n/a,UnitedStates,$200.73M,"GenesisHealthcare,Inc.",Hospital/NursingManagement,GEN
23,n/a,Australia,$11.23M,GeneticTechnologiesLtd,Biotechnology:BiologicalProducts(NoDiagnosticSubstances),GENE
24,2019,France,$927.77M,GENFITS.A.,Biotechnology:BiologicalProducts(NoDiagnosticSubstances),GNFT
25,2011,UnitedStates,$254.12M,GenieEnergyLtd.,PowerGeneration,GNE
26,n/a,UnitedStates,n/a,GenieEnergyLtd.,n/a,GNE^A
27,n/a,UnitedStates,$19.2M,"GeniusBrandsInternational,Inc.",Movies/Entertainment,GNUS
28,2010,UnitedStates,$382.09M,"GenMarkDiagnostics,Inc.",Medical/DentalInstruments,GNMK
29,2014,UnitedStates,$63.23M,"GenoceaBiosciences,Inc.",Biotechnology:BiologicalProducts(NoDiagnosticSubstances),GNCA
30,2005,UnitedStates,$1.96B,"GenomicHealth,Inc.",MedicalSpecialities,GHDX
31,2007,Bermuda,$6.86B,GenpactLimited,ProfessionalServices,G
32,2018,UnitedStates,$24.95M,"Genprex,Inc.",MajorPharmaceuticals,GNPX
33,n/a,UnitedStates,$5.54B,GentexCorporation,AutoParts:O.E.M.,GNTX
34,n/a,UnitedStates,$1.32B,GenthermInc,AutoParts:O.E.M.,THRM
35,n/a,UnitedStates,$14.45B,GenuinePartsCompany,AutomotiveAftermarket,GPC
36,2004,UnitedStates,$1.55B,GenworthFinancialInc,LifeInsurance,GNW
37,n/a,UnitedStates,$2.62B,GeoGroupInc(The),RealEstateInvestmentTrusts,GEO
38,2014,Bermuda,$990.85M,GeoparkLtd,Oil&GasProduction,GPRK
39,2017,UnitedStates,n/a,GeorgiaPowerCompany,ElectricUtilities:Central,GPJA
40,n/a,UnitedStates,$184.31M,GeospaceTechnologiesCorporation,IndustrialMachinery/Components,GEOS
41,n/a,Brazil,$5.89B,GerdauS.A.,Steel/IronOre,GGB
42,n/a,UnitedStates,$708.78M,"GermanAmericanBancorp,Inc.",MajorBanks,GABC
43,1996,UnitedStates,$264.85M,GeronCorporation,MajorPharmaceuticals,GERN
44,n/a,UnitedStates,$1.28B,GettyRealtyCorporation,RealEstate,GTY
45,2011,UnitedStates,$22.94M,"Gevo,Inc.",MajorChemicals,GEVO
46,1993,UnitedStates,$1.16B,"GibraltarIndustries,Inc.",Steel/IronOre,ROCK
47,n/a,Taiwan,$25.75M,GigaMediaLimited,"ComputerSoftware:Programming,DataProcessing",GIGM
48,n/a,n/a,n/a,"GigCapital,Inc.",n/a,GIG~
49,2018,UnitedStates,$189.42M,"GigCapital,Inc.",BusinessServices,GIG
50,2017,UnitedStates,n/a,"GigCapital,Inc.",n/a,GIG.U
51,n/a,UnitedStates,n/a,"GigCapital,Inc.",n/a,GIG.WS
52,1989,UnitedStates,$1.32B,"G-IIIApparelGroup,LTD.",Apparel,GIII
53,n/a,Israel,$455.81M,GilatSatelliteNetworksLtd.,RadioAndTelevisionBroadcastingAndCommunicationsEquipment,GILT
54,1998,Canada,$7.52B,"GildanActivewear,Inc.",Apparel,GIL
55,1992,UnitedStates,$80.75B,"GileadSciences,Inc.",Biotechnology:BiologicalProducts(NoDiagnosticSubstances),GILD
56,n/a,UnitedStates,$3.38B,"GlacierBancorp,Inc.",MajorBanks,GBCI
57,2001,UnitedStates,$268.56M,GladstoneCapitalCorporation,Textiles,GLAD
58,n/a,UnitedStates,n/a,GladstoneCapitalCorporation,Textiles,GLADD
59,n/a,UnitedStates,$52.79M,GladstoneCapitalCorporation,Textiles,GLADN
60,2003,UnitedStates,$638.23M,GladstoneCommercialCorporation,RealEstate,GOOD
61,n/a,UnitedStates,$89.32M,GladstoneCommercialCorporation,RealEstate,GOODM
62,n/a,UnitedStates,$32.03M,GladstoneCommercialCorporation,RealEstate,GOODO
63,n/a,UnitedStates,$26.6M,GladstoneCommercialCorporation,RealEstate,GOODP
64,2005,UnitedStates,$377.79M,GladstoneInvestmentCorporation,n/a,GAIN
65,n/a,UnitedStates,n/a,GladstoneInvestmentCorporation,n/a,GAINL
66,n/a,UnitedStates,n/a,GladstoneInvestmentCorporation,n/a,GAINM
67,2013,UnitedStates,$224.69M,GladstoneLandCorporation,RealEstateInvestmentTrusts,LAND
68,n/a,UnitedStates,$29.61M,GladstoneLandCorporation,RealEstateInvestmentTrusts,LANDP
69,n/a,UnitedStates,$655.59M,Glatfelter,Paper,GLT
70,2015,UnitedStates,$2.4B,GlaukosCorporation,Medical/DentalInstruments,GKOS
71,n/a,UnitedKingdom,$96.61B,GlaxoSmithKlinePLC,MajorPharmaceuticals,GSK
72,n/a,UnitedStates,$29.68M,GlenBurnieBancorp,MajorBanks,GLBZ
73,2015,UnitedStates,$3.5B,"GlobalBloodTherapeutics,Inc.",MajorPharmaceuticals,GBT
74,2013,UnitedStates,$955.38M,"GlobalBrassandCopperHoldings,Inc.",MetalFabrications,BRSS
75,n/a,HongKong,$777.93M,GlobalCordBloodCorporation,BusinessServices,CO
76,2011,UnitedStates,$62.81M,GlobalEagleEntertainmentInc.,TelecommunicationsEquipment,ENT
77,n/a,Ireland,$427.55M,GlobalIndemnityLimited,Property-CasualtyInsurers,GBLI
78,n/a,Ireland,n/a,GlobalIndemnityLimited,Property-CasualtyInsurers,GBLIL
79,n/a,Ireland,n/a,GlobalIndemnityLimited,Property-CasualtyInsurers,GBLIZ
80,2016,n/a,$363.52M,GlobalMedicalREITInc.,RealEstateInvestmentTrusts,GMRE
81,n/a,n/a,n/a,GlobalMedicalREITInc.,n/a,GMRE^A
82,2015,UnitedStates,$1.55B,"GlobalNetLease,Inc.",RealEstateInvestmentTrusts,GNL
83,n/a,UnitedStates,n/a,"GlobalNetLease,Inc.",n/a,GNL^A
84,2005,UnitedStates,$679.23M,GlobalPartnersLP,OilRefining/Marketing,GLP
85,n/a,UnitedStates,n/a,GlobalPartnersLP,n/a,GLP^A
