,IPO year,country,market capital,name,subsector,symbol
0,2013,UnitedStates,$7.1B,"HDSupplyHoldings,Inc.",OfficeEquipment/Supplies/Services,HDS
1,2001,India,$112.6B,HDFCBankLimited,CommercialBanks,HDB
2,2019,Cyprus,$833M,HeadHunterGroupPLC,ProfessionalServices,HHR
3,2013,UnitedStates,$326.92M,"HealthInsuranceInnovations,Inc.",SpecialtyInsurers,HIIQ
4,2019,UnitedStates,n/a,HealthSciencesAcquisitionsCorporation,BusinessServices,HSACU
5,1993,UnitedStates,$4.13B,HealthcareRealtyTrustIncorporated,RealEstateInvestmentTrusts,HR
6,1983,UnitedStates,$2.32B,"HealthcareServicesGroup,Inc.",Hospital/NursingManagement,HCSG
7,n/a,UnitedStates,$5.85B,"HealthcareTrustofAmerica,Inc.",RealEstateInvestmentTrusts,HTA
8,2014,UnitedStates,$4.22B,"HealthEquity,Inc.",BusinessServices,HQY
9,2000,UnitedStates,$800.96M,"HealthStream,Inc.","ComputerSoftware:Programming,DataProcessing",HSTM
10,1986,UnitedStates,$1.48B,"HeartlandExpress,Inc.",TruckingFreight/CourierServices,HTLD
11,n/a,UnitedStates,$1.54B,"HeartlandFinancialUSA,Inc.",MajorBanks,HTLF
12,2013,UnitedStates,$25.04M,"HeatBiologics,Inc.",MajorPharmaceuticals,HTBX
13,2016,China,$13.34M,"HebronTechnologyCo.,Ltd.",MetalFabrications,HEBT
14,n/a,UnitedStates,$623.05M,HeclaMiningCompany,Mining&QuarryingofNonmetallicMinerals(NoFuels),HL
15,n/a,UnitedStates,n/a,HeclaMiningCompany,Mining&QuarryingofNonmetallicMinerals(NoFuels),HL^B
16,n/a,n/a,n/a,HeicoCorporation,n/a,HEI.A
17,n/a,UnitedStates,$15.97B,HeicoCorporation,Aerospace,HEI
18,1999,UnitedStates,$595.34M,"Heidrick&StrugglesInternational,Inc.",DiversifiedCommercialServices,HSII
19,n/a,Bermuda,$3.44B,HelenofTroyLimited,HomeFurnishings,HELE
20,n/a,UnitedStates,$61.02M,"HeliusMedicalTechnologies,Inc.",Biotechnology:Electromedical&ElectrotherapeuticApparatus,HSDT
21,n/a,UnitedStates,$1.05B,"HelixEnergySolutionsGroup,Inc.",OilfieldServices/Equipment,HLX
22,n/a,UnitedStates,$5.49B,"Helmerich&Payne,Inc.",Oil&GasProduction,HP
23,n/a,UnitedStates,$533.14M,"HemisphereMediaGroup,Inc.",TelevisionServices,HMTV
24,n/a,UnitedStates,$10.13M,"HemispherxBioPharma,Inc.",Biotechnology:BiologicalProducts(NoDiagnosticSubstances),HEB
25,n/a,UnitedStates,$70.32M,"HennessyAdvisors,Inc.",InvestmentManagers,HNNA
26,2019,UnitedStates,$296.55M,HennessyCapitalAcquisitionCorp.IV,BusinessServices,HCAC
27,2019,UnitedStates,n/a,HennessyCapitalAcquisitionCorp.IV,BusinessServices,HCACU
28,2019,UnitedStates,n/a,HennessyCapitalAcquisitionCorp.IV,BusinessServices,HCACW
29,1995,UnitedStates,$9.71B,"HenrySchein,Inc.",MedicalSpecialities,HSIC
30,2004,CaymanIslands,$6.47B,HerbalifeNutritionLtd.,OtherPharmaceuticals,HLF
31,2016,n/a,$1.02B,HercHoldingsInc.,n/a,HRI
32,2018,UnitedStates,n/a,"HerculesCapital,Inc.",n/a,HCXY
33,2018,UnitedStates,n/a,"HerculesCapital,Inc.",n/a,HCXZ
34,2012,UnitedStates,$1.27B,"HerculesCapital,Inc.",n/a,HTGC
35,n/a,UnitedStates,$520.13M,HeritageCommerceCorp,MajorBanks,HTBK
36,n/a,UnitedStates,$1.07B,HeritageFinancialCorporation,Banks,HFWA
37,2014,n/a,$440.89M,"HeritageInsuranceHoldings,Inc.",Property-CasualtyInsurers,HRTG
38,2008,UnitedStates,$586M,"Heritage-CrystalClean,Inc.",Miscellaneous,HCCI
39,n/a,UnitedStates,$2.12B,"HermanMiller,Inc.",OfficeEquipment/Supplies/Services,MLHR
40,n/a,UnitedStates,$1.37B,"HeronTherapeutics,Inc.",MajorPharmaceuticals,HRTX
41,1999,UnitedStates,$681.92M,HershaHospitalityTrust,RealEstateInvestmentTrusts,HT
42,n/a,UnitedStates,n/a,HershaHospitalityTrust,n/a,HT^C
43,n/a,UnitedStates,n/a,HershaHospitalityTrust,n/a,HT^D
44,n/a,UnitedStates,n/a,HershaHospitalityTrust,n/a,HT^E
45,n/a,UnitedStates,$27.31B,HersheyCompany(The),SpecialtyFoods,HSY
46,2016,UnitedStates,$1.23B,"HertzGlobalHoldings,Inc",Rental/LeasingCompanies,HTZ
47,1997,UnitedStates,$563.86M,HeskaCorporation,Biotechnology:BiologicalProducts(NoDiagnosticSubstances),HSKA
48,n/a,UnitedStates,$17.54B,HessCorporation,IntegratedoilCompanies,HES
49,2017,UnitedStates,$1.05B,HessMidstreamPartnersLP,Oil&GasProduction,HESM
50,2015,UnitedStates,$19.14B,HewlettPackardEnterpriseCompany,ComputerManufacturing,HPE
51,n/a,UnitedStates,$6.21B,HexcelCorporation,MajorChemicals,HXL
52,2017,China,$137.85M,HexindaiInc.,Finance:ConsumerServices,HX
53,n/a,n/a,$1.66B,HEXOCorp.,SpecialtyChemicals,HEXO
54,2017,UnitedStates,$340.05M,HFFoodsGroupInc.,FoodDistributors,HFFG
55,2007,UnitedStates,$1.73B,"HFF,Inc.",RealEstate,HF
56,1996,UnitedStates,$416.23M,"HibbettSports,Inc.",OtherSpecialtyStores,HIBB
57,2012,UnitedStates,$231.53M,Hi-CrushPartnersLP,Mining&QuarryingofNonmetallicMinerals(NoFuels),HCLP
58,n/a,UnitedStates,$107.06M,HighIncomeSecuritiesFund,n/a,PCF
59,2019,n/a,$261.5M,HighlandGlobalAllocationFund,n/a,HGLB
60,2017,n/a,$969.21M,HighlandIncomeFund,n/a,HFRO
61,n/a,UnitedStates,$290.09M,Highland/iBoxxSeniorLoanETF,n/a,SNLN
62,2018,n/a,$409.12M,HighPointResourcesCorporation,Oil&GasProduction,HPR
63,n/a,China,$53.55M,HighpowerInternationalInc,IndustrialMachinery/Components,HPJ
64,n/a,HongKong,$10.87M,HighwayHoldingsLimited,MetalFabrications,HIHO
65,1994,UnitedStates,$4.52B,"HighwoodsProperties,Inc.",RealEstateInvestmentTrusts,HIW
66,2018,UnitedStates,$145.27M,"HillInternational,Inc.",Military/Government/Technical,HIL
67,n/a,UnitedStates,$2.34B,HillenbrandInc,Miscellaneousmanufacturingindustries,HI
68,n/a,UnitedStates,n/a,HillmanGroupCapitalTrust,n/a,HLM^
69,n/a,UnitedStates,$6.44B,Hill-RomHoldingsInc,Medical/DentalInstruments,HRC
70,n/a,UnitedStates,$1.89B,HilltopHoldingsInc.,MajorBanks,HTH
71,2016,n/a,$2.29B,HiltonGrandVacationsInc.,Hotels/Resorts,HGV
72,2016,n/a,$26.1B,HiltonWorldwideHoldingsInc.,Hotels/Resorts,HLT
73,2006,Taiwan,$578.41M,"HimaxTechnologies,Inc.",Semiconductors,HIMX
74,n/a,UnitedStates,$390.89M,HinghamInstitutionforSavings,n/a,HIFS
75,2014,UnitedStates,$16.19M,HistogenicsCorporation,IndustrialSpecialties,HSGX
76,2018,UnitedStates,$70.05M,HLAcquisitionsCorp.,BusinessServices,HCCH
77,2018,UnitedStates,n/a,HLAcquisitionsCorp.,BusinessServices,HCCHR
78,2018,UnitedStates,n/a,HLAcquisitionsCorp.,BusinessServices,HCCHU
79,2018,UnitedStates,n/a,HLAcquisitionsCorp.,BusinessServices,HCCHW
80,n/a,UnitedStates,$13.57M,"HMG/CourtlandProperties,Inc.",RealEstateInvestmentTrusts,HMG
81,n/a,UnitedStates,$104.97M,"HMNFinancial,Inc.",SavingsInstitutions,HMNF
82,1992,UnitedStates,$2.68B,HMSHoldingsCorp,BusinessServices,HMSY
83,n/a,UnitedStates,$1.46B,HNICorporation,OfficeEquipment/Supplies/Services,HNI
84,2014,Bermuda,$345.6M,HoeghLNGPartnersLP,MarineTransportation,HMLP
85,n/a,Bermuda,n/a,HoeghLNGPartnersLP,n/a,HMLP^A
86,2004,UnitedStates,$2.81B,"HollyEnergyPartners,L.P.",NaturalGasDistribution,HEP
87,n/a,UnitedStates,$6.76B,HollyFrontierCorporation,IntegratedoilCompanies,HFC
88,n/a,China,$1.08B,"HollysysAutomationTechnologies,Ltd.",IndustrialMachinery/Components,HOLI
89,1990,UnitedStates,$11.78B,"Hologic,Inc.",MedicalElectronics,HOLX
90,n/a,UnitedStates,$341.05M,"HomeBancorp,Inc.",Banks,HBCP
91,2006,UnitedStates,$2.99B,"HomeBancShares,Inc.",MajorBanks,HOMB
92,n/a,UnitedStates,$210.71B,"HomeDepot,Inc.(The)",RETAIL:BuildingMaterials,HD
93,n/a,UnitedStates,$63.36M,"HomeFederalBancorp,Inc.ofLouisiana",SavingsInstitutions,HFBL
94,2012,UnitedStates,$766.97M,"HomeStreet,Inc.",MajorBanks,HMST
95,2012,UnitedStates,$450.28M,"HomeTrustBancshares,Inc.",SavingsInstitutions,HTBI
96,2018,UnitedStates,$889.72M,"HomologyMedicines,Inc.",MajorPharmaceuticals,FIXX
97,n/a,Japan,$44.32B,"HondaMotorCompany,Ltd.",AutoManufacturing,HMC
98,n/a,UnitedStates,$120.4B,HoneywellInternationalInc.,AutoParts:O.E.M.,HON
99,n/a,UnitedStates,$321.15M,HookerFurnitureCorporation,HomeFurnishings,HOFT
100,1995,UnitedStates,$210.89M,HOOKIPAPharmaInc.,MajorPharmaceuticals,HOOK
101,n/a,UnitedStates,$1.66B,"HopeBancorp,Inc.",MajorBanks,HOPE
102,n/a,UnitedStates,$126.99M,"HopFedBancorp,Inc.",MajorBanks,HFBC
103,1991,UnitedStates,$1.67B,HoraceMannEducatorsCorporation,Property-CasualtyInsurers,HMN
104,n/a,UnitedStates,$709.13M,"HorizonBancorp,Inc.",MajorBanks,HBNC
105,2015,UnitedStates,$109.14M,HorizonGlobalCorporation,AutoParts:O.E.M.,HZN
106,2010,UnitedStates,$159.63M,HorizonTechnologyFinanceCorporation,n/a,HRZN
107,2017,UnitedStates,n/a,HorizonTechnologyFinanceCorporation,n/a,HTFA
108,2011,Ireland,$4.38B,HorizonTherapeuticsPublicLimitedCompany,MajorPharmaceuticals,HZNP
109,n/a,UnitedStates,$21.22B,HormelFoodsCorporation,Meat/Poultry/Fish,HRL
110,2004,UnitedStates,$47.72M,HornbeckOffshoreServices,MarineTransportation,HOS
111,n/a,UnitedStates,$4.15B,HospitalityPropertiesTrust,RealEstateInvestmentTrusts,HPT
112,n/a,UnitedStates,$13.63B,"HostHotels&Resorts,Inc.",RealEstateInvestmentTrusts,HST
113,2015,UnitedStates,$1.74B,"HostessBrands,Inc.",PackagedFoods,TWNK
114,2015,UnitedStates,n/a,"HostessBrands,Inc.",PackagedFoods,TWNKW
