,IPO year,country,market capital,name,subsector,symbol
0,1997,UnitedStates,$63.33M,"ImpacMortgageHoldings,Inc.",RealEstateInvestmentTrusts,IMH
1,n/a,Canada,$21.17B,ImperialOilLimited,IntegratedoilCompanies,IMO
2,2016,UnitedStates,$537.87M,"Impinj,Inc.",IndustrialMachinery/Components,PI
3,n/a,Canada,$212.51M,IMVInc.,MajorPharmaceuticals,IMV
4,n/a,UnitedStates,$47.98M,"IncomeOpportunityRealtyInvestors,Inc.",RealEstateInvestmentTrusts,IOR
5,n/a,UnitedStates,$16.88B,IncyteCorporation,Biotechnology:CommercialPhysical&BiologicalResarch,INCY
6,2014,n/a,$161.86M,"IndependenceContractDrilling,Inc.",Oil&GasProduction,ICD
7,n/a,UnitedStates,$563.11M,IndependenceHoldingCompany,LifeInsurance,IHC
8,2013,UnitedStates,$978.3M,"IndependenceRealtyTrust,Inc.",RealEstateInvestmentTrusts,IRT
9,n/a,UnitedStates,$2.45B,IndependentBankCorp.,MajorBanks,INDB
10,n/a,UnitedStates,$479.17M,IndependentBankCorporation,MajorBanks,IBCP
11,2013,UnitedStates,$2.28B,"IndependentBankGroup,Inc",MajorBanks,IBTX
12,n/a,UnitedStates,$582.75M,"IndiaFund,Inc.(The)",n/a,IFN
13,n/a,UnitedStates,$45.52M,IndiaGlobalizationCapitalInc.,ElectronicComponents,IGC
14,2018,UnitedStates,$1.23B,IndustrialLogisticsPropertiesTrust,RealEstateInvestmentTrusts,ILPT
15,n/a,UnitedStates,$9.73M,"IndustrialServicesofAmerica,Inc.",IndustrialSpecialties,IDSA
16,1997,Mexico,$2.68B,"IndustriasBachoco,S.A.deC.V.",Meat/Poultry/Fish,IBA
17,2007,UnitedStates,$572.45M,InfineraCorporation,TelecommunicationsEquipment,INFN
18,n/a,UnitedStates,$87.67M,"InfinityPharmaceuticals,Inc.",MajorPharmaceuticals,INFI
19,2017,Germany,$964.58M,InflaRxN.V.,n/a,IFRX
20,n/a,UnitedStates,$147.89M,"InformationServicesGroup,Inc.",ProfessionalServices,III
21,n/a,India,$45.74B,InfosysLimited,EDPServices,INFY
22,2016,UnitedStates,$64.75M,"InfrastructureandEnergyAlternatives,Inc.",BusinessServices,IEA
