,IPO year,country,market capital,name,subsector,symbol
0,2017,UnitedStates,n/a,JMPGroupLLC,InvestmentBankers/Brokers/Service,JMPD
1,2015,China,$991734.15,JMULimited,EDPServices,JMU
2,1991,UnitedStates,$676.33M,"JohnB.Sanfilippo&Son,Inc.",SpecialtyFoods,JBSS
3,n/a,UnitedStates,$3.29B,JohnBeanTechnologiesCorporation,IndustrialMachinery/Components,JBT
4,1994,UnitedStates,$581.58M,JohnHancockFinancialOpportunitiesFund,n/a,BTO
5,2011,UnitedStates,$168.55M,JohnHancockHedgedEquity&IncomeFund,n/a,HEQ
6,n/a,UnitedStates,$167.24M,JohnHancockIncomeSecuritiesTrust,n/a,JHS
7,n/a,UnitedStates,$139.66M,JohnHancockInvestorsTrust,n/a,JHI
8,2002,UnitedStates,$476.91M,JohnHancockPfdIncomeFundII,n/a,HPF
9,2002,UnitedStates,$596.54M,JohnHancockPreferredIncomeFund,n/a,HPI
10,2003,UnitedStates,$593.08M,JohnHancockPreferredIncomeFundIII,n/a,HPS
11,n/a,UnitedStates,$813.16M,JohnHancockPremiumDividendFund,n/a,PDT
12,2004,UnitedStates,$872.24M,JohnHancockTaxAdvantagedDividendIncomeFund,n/a,HTD
13,n/a,UnitedStates,$74.44M,JohnHancockTax-AdvantagedGlobalShareholderYieldFund,n/a,HTY
14,n/a,n/a,n/a,"JohnWiley&Sons,Inc.",n/a,JW.A
15,n/a,n/a,n/a,"JohnWiley&Sons,Inc.",n/a,JW.B
16,n/a,UnitedStates,$350.76B,Johnson&Johnson,MajorPharmaceuticals,JNJ
17,n/a,Switzerland,$34.96B,JohnsonControlsInternationalplc,OtherConsumerServices,JCI
18,n/a,UnitedStates,$677.91M,JohnsonOutdoorsInc.,RecreationalProducts/Toys,JOUT
19,n/a,UnitedStates,$5.81B,JonesLangLaSalleIncorporated,RealEstate,JLL
20,2017,UnitedStates,$151.67M,"JounceTherapeutics,Inc.",Biotechnology:BiologicalProducts(NoDiagnosticSubstances),JNCE
21,2014,n/a,$313.92M,JumeiInternationalHoldingLimited,OtherSpecialtyStores,JMEI
22,2019,n/a,$1.93B,JumiaTechnologiesAG,Catalog/SpecialtyDistribution,JMIA
23,1999,UnitedStates,$8.7B,"JuniperNetworks,Inc.",ComputerCommunicationsEquipment,JNPR
24,2015,n/a,$83.28M,JupaiHoldingsLimited,OtherConsumerServices,JP
25,n/a,Canada,$499.37M,"JustEnergyGroup,Inc.",Oil/GasTransmission,JE
26,n/a,Canada,n/a,"JustEnergyGroup,Inc.",n/a,JE^A
27,1986,UnitedStates,$3.02B,J&JSnackFoodsCorp.,SpecialtyFoods,JJSF
28,n/a,UnitedStates,$347.3B,JPMorganChase&Co,MajorBanks,JPM
29,n/a,UnitedStates,n/a,JPMorganChase&Co,MajorBanks,JPM^A
30,n/a,UnitedStates,n/a,JPMorganChase&Co,n/a,JPM^C
31,n/a,UnitedStates,n/a,JPMorganChase&Co,n/a,JPM^D
32,n/a,UnitedStates,n/a,JPMorganChase&Co,n/a,JPM^E
33,n/a,UnitedStates,n/a,JPMorganChase&Co,n/a,JPM^F
34,n/a,UnitedStates,n/a,JPMorganChase&Co,n/a,JPM^G
35,n/a,UnitedStates,n/a,JPMorganChase&Co,MajorBanks,JPM^H
36,2015,n/a,$155.62M,"J.Alexander'sHoldings,Inc.",Restaurants,JAX
37,2017,n/a,$73.78M,"J.Jill,Inc.",Apparel,JILL
38,n/a,UnitedStates,$70.87M,"J.W.Mays,Inc.",Buildingoperators,MAYS
39,n/a,UnitedStates,$9.3B,"J.B.HuntTransportServices,Inc.",TruckingFreight/CourierServices,JBHT
40,n/a,UnitedStates,$278.47M,"J.C.PenneyCompany,Inc.HoldingCompany",Department/SpecialtyRetailStores,JCP
41,n/a,UnitedStates,$13.78B,J.M.SmuckerCompany(The),PackagedFoods,SJM
42,1999,UnitedStates,$4.16B,"j2Global,Inc.",TelecommunicationsEquipment,JCOM
43,1993,UnitedStates,$3.92B,JabilInc.,ElectricalProducts,JBL
44,1985,UnitedStates,$10.21B,"JackHenry&Associates,Inc.",EDPServices,JKHY
45,n/a,UnitedStates,$2.12B,JackInTheBoxInc.,Restaurants,JACK
46,n/a,UnitedStates,$10.27B,JacobsEngineeringGroupInc.,Military/Government/Technical,JEC
47,2017,UnitedStates,$1.8B,JaggedPeakEnergyInc.,Oil&GasProduction,JAG
48,2015,UnitedStates,$17.87M,"JaguarHealth,Inc.",MajorPharmaceuticals,JAGX
49,1996,UnitedStates,$22.98M,"JAKKSPacific,Inc.",RecreationalProducts/Toys,JAKK
50,n/a,Ireland,$5.63B,JamesHardieIndustriesplc.,BuildingMaterials,JHX
51,2014,Bermuda,$1.34B,"JamesRiverGroupHoldings,Ltd.",Property-CasualtyInsurers,JRVR
52,2017,n/a,$4.12B,JanusHendersonGroupplc,InvestmentManagers,JHG
53,n/a,UnitedStates,$28.77M,JanusHendersonSmallCapGrowthAlphaETF,n/a,JSML
54,n/a,UnitedStates,$71.43M,JanusHendersonSmall/MidCapGrowthAlphaETF,n/a,JSMD
55,1990,UnitedStates,$238M,JapanSmallerCapitalizationFundInc,n/a,JOF
56,2013,UnitedStates,$27.55M,"JasonIndustries,Inc.",Miscellaneousmanufacturingindustries,JASN
57,2013,UnitedStates,n/a,"JasonIndustries,Inc.",Miscellaneousmanufacturingindustries,JASNW
58,2007,Ireland,$7.25B,JazzPharmaceuticalsplc,MajorPharmaceuticals,JAZZ
59,2017,UnitedStates,$5.24B,JBGSMITHProperties,RealEstateInvestmentTrusts,JBGS
60,2014,China,$38.13B,"JD.com,Inc.",OtherSpecialtyStores,JD
61,n/a,UnitedStates,$5.28B,JefferiesFinancialGroupInc.,InvestmentBankers/Brokers/Service,JEF
62,2017,UnitedStates,$1.92B,"JELD-WENHolding,Inc.",ForestProducts,JELD
63,2016,UnitedStates,$19.47M,JensynAcquistionCorp.,NaturalGasDistribution,JSYN
64,2016,UnitedStates,n/a,JensynAcquistionCorp.,NaturalGasDistribution,JSYNR
65,2016,UnitedStates,n/a,JensynAcquistionCorp.,NaturalGasDistribution,JSYNU
66,2016,UnitedStates,n/a,JensynAcquistionCorp.,NaturalGasDistribution,JSYNW
67,2018,UnitedStates,$78.14M,"JerashHoldings(US),Inc.",Apparel,JRSH
68,2015,UnitedStates,$458.03M,"JerniganCapital,Inc.",RealEstateInvestmentTrusts,JCAP
69,n/a,UnitedStates,n/a,"JerniganCapital,Inc.",n/a,JCAP^B
70,2002,UnitedStates,$5.22B,JetBlueAirwaysCorporation,AirFreight/DeliveryServices,JBLU
71,n/a,UnitedStates,$66.77M,Jewett-CameronTradingCompany,RETAIL:BuildingMaterials,JCTCF
72,2017,n/a,$695.95M,JianpuTechnologyInc.,"ComputerSoftware:Programming,DataProcessing",JT
73,2019,China,$36.82M,JiayinGroupInc.,Finance:ConsumerServices,JFIN
74,2010,China,$782.1M,JinkoSolarHoldingCompanyLimited,Semiconductors,JKS
75,2007,UnitedStates,$82.3M,JMPGroupLLC,InvestmentBankers/Brokers/Service,JMP
76,n/a,UnitedStates,n/a,JMPGroupLLC,InvestmentBankers/Brokers/Service,JMPB
