,IPO year,country,market capital,name,subsector,symbol
0,2014,UnitedStates,$14.94B,KeysightTechnologiesInc.,IndustrialMachinery/Components,KEYS
1,2018,UnitedStates,$186.22M,"KezarLifeSciences,Inc.",MajorPharmaceuticals,KZR
2,1995,UnitedStates,$914.12M,"Kforce,Inc.",ProfessionalServices,KFRC
3,1997,UnitedStates,$7.44B,KilroyRealtyCorporation,RealEstateInvestmentTrusts,KRC
4,n/a,UnitedStates,$381.28M,"KimballElectronics,Inc.",ElectricalProducts,KE
5,n/a,UnitedStates,$565.89M,"KimballInternational,Inc.",HomeFurnishings,KBAL
6,2017,UnitedStates,$797M,KimbellRoyaltyPartners,Oil&GasProduction,KRP
7,n/a,UnitedStates,$44.77B,Kimberly-ClarkCorporation,Containers/Packaging,KMB
8,n/a,UnitedStates,$7.35B,KimcoRealtyCorporation,RealEstateInvestmentTrusts,KIM
9,n/a,UnitedStates,n/a,KimcoRealtyCorporation,n/a,KIM^I
10,n/a,UnitedStates,n/a,KimcoRealtyCorporation,n/a,KIM^J
11,n/a,UnitedStates,n/a,KimcoRealtyCorporation,n/a,KIM^K
12,n/a,UnitedStates,n/a,KimcoRealtyCorporation,n/a,KIM^L
13,n/a,UnitedStates,n/a,KimcoRealtyCorporation,n/a,KIM^M
14,2011,UnitedStates,$45.41B,"KinderMorgan,Inc.",NaturalGasDistribution,KMI
15,2013,UnitedStates,$319.45M,"KindredBiosciences,Inc.",MajorPharmaceuticals,KIN
16,n/a,China,$51.95M,KingoldJewelryInc.,BusinessServices,KGJI
17,n/a,UnitedStates,$99.08M,"KingstoneCompanies,Inc",Property-CasualtyInsurers,KINS
18,n/a,Canada,$53.6M,"KingswayFinancialServices,Inc.",Property-CasualtyInsurers,KFS
19,2018,UnitedStates,$296.21M,"KiniksaPharmaceuticals,Ltd.",MajorPharmaceuticals,KNSA
20,n/a,Canada,$3.99B,KinrossGoldCorporation,PreciousMetals,KGC
21,2016,UnitedStates,$1.79B,"KinsaleCapitalGroup,Inc.",Property-CasualtyInsurers,KNSL
22,n/a,UnitedStates,$4.72B,KirbyCorporation,MarineTransportation,KEX
23,n/a,n/a,$6.83B,KirklandLakeGoldLtd.,PreciousMetals,KL
24,2002,UnitedStates,$59.09M,"Kirkland's,Inc.",OtherSpecialtyStores,KIRK
25,2004,UnitedStates,$1.28B,KiteRealtyGroupTrust,RealEstateInvestmentTrusts,KRG
26,2015,Israel,$17.53M,KitovPharmaLtd.,MajorPharmaceuticals,KTOV
27,2015,Israel,n/a,KitovPharmaLtd.,MajorPharmaceuticals,KTOVW
28,n/a,UnitedStates,$12.72B,KKR&Co.Inc.,InvestmentManagers,KKR
29,n/a,UnitedStates,n/a,KKR&Co.Inc.,n/a,KKR^A
30,n/a,UnitedStates,n/a,KKR&Co.Inc.,n/a,KKR^B
31,2013,n/a,$317.51M,KKRIncomeOpportunitiesFund,n/a,KIO
32,2017,UnitedStates,$1.18B,KKRRealEstateFinanceTrustInc.,RealEstateInvestmentTrusts,KREF
33,1980,UnitedStates,$16.89B,KLA-TencorCorporation,ElectronicComponents,KLAC
34,n/a,UnitedStates,$479.88M,"KLXEnergyServicesHoldings,Inc.",OilfieldServices/Equipment,KLXE
35,2017,UnitedStates,$4.85B,"KnightTransportation,Inc.",TruckingFreight/CourierServices,KNX
36,2004,UnitedStates,$986.2M,"Knoll,Inc.",OfficeEquipment/Supplies/Services,KNL
37,2013,UnitedKingdom,$625.11M,KNOTOffshorePartnersLP,MarineTransportation,KNOP
38,2014,n/a,$1.46B,KnowlesCorporation,ConsumerElectronics/Appliances,KN
39,2018,UnitedStates,$353.25M,KodiakSciencesInc,Biotechnology:BiologicalProducts(NoDiagnosticSubstances),KOD
