,IPO year,country,market capital,name,subsector,symbol
0,2017,UnitedStates,$377.25M,LegacyAcquisitionCorp.,BusinessServices,LGC
1,2017,UnitedStates,n/a,LegacyAcquisitionCorp.,n/a,LGC.U
2,n/a,UnitedStates,n/a,LegacyAcquisitionCorp.,n/a,LGC.WS
3,2018,UnitedStates,$322.63M,LegacyHousingCorporation,Homebuilding,LEGH
4,2007,UnitedStates,$14.72M,LegacyReservesInc.,Oil&GasProduction,LGCY
5,n/a,UnitedStates,$1.8B,"LegacyTexasFinancialGroup,Inc.",SavingsInstitutions,LTXB
6,n/a,UnitedStates,$35.71M,LeggMasonGlobalInfrastructureETF,n/a,INFR
7,n/a,UnitedStates,$642.3M,LeggMasonLowVolatilityHighDividendETF,n/a,LVHD
8,n/a,UnitedStates,$3.73M,LeggMasonSmall-CapQualityValueETF,n/a,SQLV
9,n/a,UnitedStates,$3.2B,"LeggMason,Inc.",InvestmentManagers,LM
10,2016,UnitedStates,n/a,"LeggMason,Inc.",InvestmentManagers,LMHA
11,2016,UnitedStates,n/a,"LeggMason,Inc.",InvestmentManagers,LMHB
12,n/a,UnitedStates,$4.79B,"Leggett&Platt,Incorporated",HomeFurnishings,LEG
13,n/a,UnitedStates,n/a,LehmanABSCorporation,Finance:ConsumerServices,JBK
14,n/a,UnitedStates,n/a,LehmanABSCorporation,Finance:ConsumerServices,KTH
15,n/a,UnitedStates,n/a,LehmanABSCorporation,Finance:ConsumerServices,KTN
16,n/a,UnitedStates,n/a,LehmanABSCorporation,Finance:ConsumerServices,KTP
17,n/a,UnitedStates,$10.79B,"LeidosHoldings,Inc.",EDPServices,LDOS
18,2017,UnitedStates,$253M,LeisureAcquisitionCorp.,BusinessServices,LACQ
19,2017,UnitedStates,n/a,LeisureAcquisitionCorp.,BusinessServices,LACQU
20,2017,UnitedStates,n/a,LeisureAcquisitionCorp.,BusinessServices,LACQW
21,2014,n/a,$180.57M,LejuHoldingsLimited,RealEstate,LEJU
22,2006,UnitedStates,$520.3M,"LeMaitreVascular,Inc.",Medical/DentalInstruments,LMAT
23,2014,UnitedStates,$1.33B,LendingClubCorporation,BusinessServices,LC
24,n/a,UnitedStates,$4.84B,"LendingTree,Inc.",Finance:ConsumerServices,TREE
25,n/a,UnitedStates,$16.26B,LennarCorporation,Homebuilding,LEN
26,n/a,UnitedStates,n/a,LennarCorporation,Homebuilding,LEN.B
27,1999,UnitedStates,$10.83B,"LennoxInternational,Inc.",IndustrialMachinery/Components,LII
28,2018,UnitedStates,$256.5M,LeoHoldingsCorp.,Movies/Entertainment,LHC
29,2018,UnitedStates,n/a,LeoHoldingsCorp.,n/a,LHC.U
30,n/a,UnitedStates,n/a,LeoHoldingsCorp.,n/a,LHC.WS
31,2018,UnitedStates,$189.67M,"LevelOneBancorp,Inc.",MajorBanks,LEVL
32,2019,UnitedStates,$8.16B,LeviStrauss&Co,Apparel,LEVI
33,n/a,UnitedStates,$601.5M,"LexiconPharmaceuticals,Inc.",MajorPharmaceuticals,LXRX
34,2017,China,$2.03B,LexinFintechHoldingsLtd.,Finance:ConsumerServices,LX
35,n/a,UnitedStates,$2.13B,LexingtonRealtyTrust,n/a,LXP
36,n/a,UnitedStates,n/a,LexingtonRealtyTrust,n/a,LXP^C
37,2018,UnitedStates,$196M,LFCapitalAcquistionCorp.,BusinessServices,LFAC
38,2018,UnitedStates,n/a,LFCapitalAcquistionCorp.,BusinessServices,LFACU
39,2018,UnitedStates,n/a,LFCapitalAcquistionCorp.,BusinessServices,LFACW
40,2004,SouthKorea,$4.94B,"LGDisplayCo.,Ltd.",IndustrialMachinery/Components,LPL
41,2013,UnitedStates,$1.57B,"LGIHomes,Inc.",Homebuilding,LGIH
42,n/a,UnitedStates,$39.86M,"LGLGroup,Inc.(The)",IndustrialMachinery/Components,LGL
43,2005,UnitedStates,$3.55B,LHCGroup,Medical/NursingServices,LHCG
44,n/a,China,$27.24M,LianluoSmartLimited,Medical/DentalInstruments,LLIT
45,1993,UnitedStates,$43.22M,"Libbey,Inc.",IndustrialMachinery/Components,LBY
46,1986,UnitedStates,$1.22B,LibertyAll-StarEquityFund,n/a,USA
47,n/a,UnitedStates,$202.21M,"LibertyAll-StarGrowthFund,Inc.",n/a,ASG
48,n/a,UnitedStates,$17.87B,LibertyBroadbandCorporation,TelevisionServices,LBRDA
49,n/a,UnitedStates,$15.09B,LibertyBroadbandCorporation,TelevisionServices,LBRDK
50,n/a,UnitedStates,$2.39B,"LibertyExpediaHoldings,Inc.",OtherConsumerServices,LEXEA
51,n/a,UnitedStates,$2.44B,"LibertyExpediaHoldings,Inc.",OtherConsumerServices,LEXEB
52,n/a,UnitedKingdom,$17.98B,LibertyGlobalplc,TelevisionServices,LBTYA
53,n/a,UnitedKingdom,$18.25B,LibertyGlobalplc,TelevisionServices,LBTYB
54,n/a,UnitedKingdom,$17.7B,LibertyGlobalplc,TelevisionServices,LBTYK
55,n/a,UnitedStates,$828.95M,LibertyLatinAmericaLtd.,TelevisionServices,LILA
56,n/a,UnitedStates,$2.24B,LibertyLatinAmericaLtd.,TelevisionServices,LILAK
57,n/a,UnitedStates,$1.36B,LibertyMediaCorporation,Broadcasting,BATRA
58,n/a,UnitedStates,$1.37B,LibertyMediaCorporation,Broadcasting,BATRK
59,n/a,UnitedStates,$8.25B,LibertyMediaCorporation,Broadcasting,FWONA
60,n/a,UnitedStates,$8.44B,LibertyMediaCorporation,Broadcasting,FWONK
61,n/a,UnitedStates,$11.72B,LibertyMediaCorporation,Broadcasting,LSXMA
62,n/a,UnitedStates,$12.21B,LibertyMediaCorporation,Broadcasting,LSXMB
63,n/a,UnitedStates,$11.77B,LibertyMediaCorporation,Broadcasting,LSXMK
64,2018,UnitedStates,$1.51B,LibertyOilfieldServicesInc.,OilfieldServices/Equipment,LBRT
65,n/a,UnitedStates,$7B,LibertyPropertyTrust,RealEstateInvestmentTrusts,LPT
66,n/a,UnitedStates,$816.83M,"LibertyTripAdvisorHoldings,Inc.",EDPServices,LTRPA
67,n/a,UnitedStates,$937.94M,"LibertyTripAdvisorHoldings,Inc.",EDPServices,LTRPB
68,n/a,UnitedStates,$4.46B,"LifeStorage,Inc.",RealEstateInvestmentTrusts,LSI
69,1991,UnitedStates,$167.17M,"LifetimeBrands,Inc.",IndustrialMachinery/Components,LCUT
70,n/a,UnitedStates,$161.47M,LifevantageCorporation,MajorPharmaceuticals,LFVN
71,n/a,UnitedStates,$36.33M,"LifewayFoods,Inc.",PackagedFoods,LWAY
72,n/a,UnitedStates,$2.15B,LigandPharmaceuticalsIncorporated,MajorPharmaceuticals,LGND
73,n/a,UnitedStates,$28.43M,LightbridgeCorporation,ProfessionalServices,LTBR
74,2013,China,$98.83M,"LightInTheBoxHoldingCo.,Ltd.",Catalog/SpecialtyDistribution,LITB
75,1996,UnitedStates,$26.2M,"LightPathTechnologies,Inc.",Semiconductors,LPTH
76,n/a,UnitedStates,$60.18M,"LilisEnergy,Inc.",Oil&GasProduction,LLEX
77,n/a,UnitedStates,$69.55M,"LimbachHoldings,Inc.",Engineering&Construction,LMB
78,2007,UnitedStates,$355M,"LimelightNetworks,Inc.",BusinessServices,LLNW
79,n/a,UnitedStates,$112.06M,"LimestoneBancorp,Inc.",MajorBanks,LMST
80,n/a,UnitedStates,$332.88M,LimoneiraCo,Farming/Seeds/Milling,LMNR
81,2005,UnitedStates,$65.86M,LincolnEducationalServicesCorporation,OtherConsumerServices,LINC
82,n/a,UnitedStates,$4.87B,"LincolnElectricHoldings,Inc.",IndustrialMachinery/Components,LECO
83,n/a,UnitedStates,$12.49B,LincolnNationalCorporation,LifeInsurance,LNC
84,n/a,UnitedStates,n/a,LincolnNationalCorporation,n/a,LNC.WS
85,2013,UnitedStates,$750.64M,LindbladExpeditionsHoldingsInc.,TransportationServices,LIND
86,2013,UnitedStates,n/a,LindbladExpeditionsHoldingsInc.,TransportationServices,LINDW
87,2018,n/a,$99.55B,Lindeplc,MajorChemicals,LIN
88,n/a,UnitedStates,$871.43M,LindsayCorporation,IndustrialMachinery/Components,LNN
89,2016,Japan,$6.97B,LINECorporation,"ComputerSoftware:Programming,DataProcessing",LN
90,n/a,n/a,n/a,LionsGateEntertainmentCorporation,n/a,LGF.A
91,2016,Canada,n/a,LionsGateEntertainmentCorporation,n/a,LGF.B
92,n/a,UnitedStates,$31.5M,LipocineInc.,MajorPharmaceuticals,LPCN
93,n/a,Denmark,$186.72M,"LiqTechInternational,Inc.",IndustrialMachinery/Components,LIQT
94,n/a,Canada,$11.46M,LiquidMediaGroupLtd.,Beverages(Production/Distribution),YVR
95,2018,UnitedStates,$183.26M,"LiquidiaTechnologies,Inc.",Biotechnology:BiologicalProducts(NoDiagnosticSubstances),LQDA
96,2006,UnitedStates,$194.11M,"LiquidityServices,Inc.",BusinessServices,LQDT
97,n/a,UnitedStates,$2.69B,"LithiaMotors,Inc.",AutomotiveAftermarket,LAD
98,n/a,Canada,$368.25M,LithiumAmericasCorp.,PreciousMetals,LAC
99,n/a,UnitedStates,$4.14B,"Littelfuse,Inc.",ElectricalProducts,LFUS
100,n/a,UnitedKingdom,$3.46B,LivaNovaPLC,Biotechnology:Electromedical&ElectrotherapeuticApparatus,LIVN
101,n/a,UnitedStates,$12.91B,"LiveNationEntertainment,Inc.",Services-Misc.Amusement&Recreation,LYV
102,2015,UnitedStates,$636.11M,"LiveOakBancshares,Inc.",MajorBanks,LOB
103,n/a,UnitedStates,$13.59M,LiveVenturesIncorporated,Finance/InvestorsServices,LIVE
104,2018,UnitedStates,$932.95M,LiventCorporation,MajorChemicals,LTHM
105,2000,UnitedStates,$1.82B,"LivePerson,Inc.",ComputerSoftware:PrepackagedSoftware,LPSN
106,2018,UnitedStates,$3.59B,"LiveRampHoldings,Inc.",EDPServices,RAMP
107,n/a,UnitedStates,$195.87M,"LiveXLiveMedia,Inc.",Restaurants,LIVX
108,n/a,UnitedStates,$8.11B,LKQCorporation,MotorVehicles,LKQ
109,n/a,UnitedKingdom,$50.12B,LloydsBankingGroupPlc,CommercialBanks,LYG
110,2015,UnitedStates,$3.94M,"LMFundingAmerica,Inc.",Finance:ConsumerServices,LMFA
111,2015,UnitedStates,n/a,"LMFundingAmerica,Inc.",Finance:ConsumerServices,LMFAW
112,2004,UnitedStates,$230.37M,LMPCapitalandIncomeFundInc.,n/a,SCD
113,n/a,UnitedStates,$96.62B,LockheedMartinCorporation,Military/Government/Technical,LMT
114,n/a,UnitedStates,$15.63B,LoewsCorporation,Property-CasualtyInsurers,L
115,2018,UnitedStates,$356.76M,"LogicBioTherapeutics,Inc.",Biotechnology:BiologicalProducts(NoDiagnosticSubstances),LOGC
116,1997,UnitedStates,$6.1B,LogitechInternationalS.A.,Computerperipheralequipment,LOGI
117,2009,UnitedStates,$3.63B,"LogMein,Inc.",ComputerSoftware:PrepackagedSoftware,LOGM
118,2017,Argentina,$1.19B,LomaNegraCompaniaIndustrialArgentinaSociedadAnonima,BuildingMaterials,LOMA
119,n/a,UnitedStates,$36.83M,LoncarCancerImmunotherapyETF,n/a,CNCR
120,n/a,UnitedStates,$3.25M,LoncarChinaBioPharmaETF,n/a,CHNA
121,n/a,UnitedStates,$71.55M,LonestarResourcesUSInc.,Oil&GasProduction,LONE
122,2018,China,$53.02M,LongevityAcquisitionCorporation,BusinessServices,LOAC
123,2018,China,n/a,LongevityAcquisitionCorporation,BusinessServices,LOACR
124,2018,China,n/a,LongevityAcquisitionCorporation,BusinessServices,LOACU
125,2018,China,n/a,LongevityAcquisitionCorporation,BusinessServices,LOACW
126,n/a,Canada,$280.74M,"LoopIndustries,Inc.",MajorChemicals,LOOP
127,n/a,UnitedStates,$1.06B,"LoralSpaceandCommunications,Inc.",RadioAndTelevisionBroadcastingAndCommunicationsEquipment,LORL
128,n/a,UnitedStates,$2.81B,Louisiana-PacificCorporation,ForestProducts,LPX
129,n/a,UnitedStates,$74.72B,"Lowe'sCompanies,Inc.",RETAIL:BuildingMaterials,LOW
130,2010,UnitedStates,$6.89B,LPLFinancialHoldingsInc.,InvestmentBankers/Brokers/Service,LPLA
131,n/a,UnitedStates,$108.79M,LRADCorporation,ConsumerElectronics/Appliances,LRAD
132,n/a,UnitedStates,$108.46M,LsbIndustriesInc.,MajorChemicals,LXU
133,2016,n/a,$166.88M,"LSCCommunications,Inc.",Publishing,LKSD
134,1985,UnitedStates,$92.34M,LSIIndustriesInc.,BuildingProducts,LYTS
135,n/a,UnitedStates,$1.78B,"LTCProperties,Inc.",RealEstateInvestmentTrusts,LTC
136,n/a,UnitedStates,$39.74M,"Luby's,Inc.",Restaurants,LUB
137,2019,China,$4.35B,LuckinCoffeeInc.,Restaurants,LK
138,2007,Canada,$21.34B,lululemonathleticainc.,Apparel,LULU
139,2007,UnitedStates,$281.69M,"LumberLiquidatorsHoldings,Inc",RETAIL:BuildingMaterials,LL
140,n/a,UnitedStates,$3.22B,LumentumHoldingsInc.,TelecommunicationsEquipment,LITE
141,2000,UnitedStates,$947.22M,LuminexCorporation,Medical/DentalInstruments,LMNX
142,2006,UnitedStates,$117.65M,LunaInnovationsIncorporated,Biotechnology:CommercialPhysical&BiologicalResarch,LUNA
143,n/a,China,$1.32B,LuokungTechnologyCorp,EDPServices,LKCO
144,2003,UnitedStates,$565.99M,LutherBurbankCorporation,MajorBanks,LBC
145,2012,UnitedKingdom,$674.2M,LuxferHoldingsPLC,MajorChemicals,LXFR
146,2013,BritishVirginIslands,$1.97B,"LuxoftHolding,Inc.",EDPServices,LXFT
147,n/a,UnitedStates,$336.07M,"Lydall,Inc.",AutoParts:O.E.M.,LDL
148,2019,UnitedStates,$15.93B,"Lyft,Inc.",BusinessServices,LYFT
149,2013,UnitedStates,$705.59M,LyonWilliamHomes,Homebuilding,WLH
