,IPO year,country,market capital,name,subsector,symbol
0,n/a,UnitedStates,$505.33M,"ManitowocCompany,Inc.(The)",Construction/AgEquipment/Trucks,MTW
1,n/a,UnitedStates,$41.13M,"Mannatech,Incorporated",SpecialtyChemicals,MTEX
2,2011,UnitedStates,$31.45M,"Manning&Napier,Inc.",InvestmentManagers,MN
3,2004,UnitedStates,$215.95M,MannKindCorporation,MajorPharmaceuticals,MNKD
4,n/a,UnitedStates,$5.32B,ManpowerGroup,ProfessionalServices,MAN
5,2002,UnitedStates,$1.65B,ManTechInternationalCorporation,OtherConsumerServices,MANT
6,n/a,Canada,$33.73B,ManulifeFinancialCorp,LifeInsurance,MFC
7,n/a,UnitedStates,$11.14B,MarathonOilCorporation,Oil&GasProduction,MRO
8,n/a,UnitedStates,$18.65M,"MarathonPatentGroup,Inc.",Multi-SectorCompanies,MARA
9,n/a,UnitedStates,$31.22B,MarathonPetroleumCorporation,IntegratedoilCompanies,MPC
10,2004,UnitedStates,$195.26M,"Marchex,Inc.",BusinessServices,MCHX
11,2013,n/a,$1.22B,"Marcus&Millichap,Inc.",RealEstate,MMI
12,n/a,UnitedStates,$1.08B,MarcusCorporation(The),Movies/Entertainment,MCS
13,n/a,UnitedStates,$15.26M,MarinSoftwareIncorporated,EDPServices,MRIN
14,n/a,UnitedStates,$5.16M,MarinePetroleumTrust,Oil&GasProduction,MARPS
15,n/a,UnitedStates,$489.01M,MarineProductsCorporation,MarineTransportation,MPX
16,1998,UnitedStates,$431.7M,"MarineMax,Inc.",OtherSpecialtyStores,HZO
17,2014,UnitedStates,$229.14M,"MarinusPharmaceuticals,Inc.",MajorPharmaceuticals,MRNS
18,1986,UnitedStates,$14.61B,MarkelCorporation,Property-CasualtyInsurers,MKL
19,n/a,UnitedStates,$259.26M,"MarkerTherapeutics,Inc.",MajorPharmaceuticals,MRKR
20,2004,UnitedStates,$10.7B,"MarketAxessHoldings,Inc.",InvestmentBankers/Brokers/Service,MKTX
21,2003,UnitedStates,$283.16M,MarlinBusinessServicesCorp.,MajorBanks,MRLN
22,n/a,UnitedStates,$41.51B,MarriottInternational,Hotels/Resorts,MAR
23,n/a,UnitedStates,$4.13B,MarriottVacationsWorldwideCorporation,RealEstate,VAC
24,2013,UnitedStates,$172.73M,"MarroneBioInnovations,Inc.",AgriculturalChemicals,MBII
25,n/a,UnitedStates,$48.61B,"Marsh&McLennanCompanies,Inc.",SpecialtyInsurers,MMC
26,1986,UnitedStates,$977.52M,"MartenTransport,Ltd.",TruckingFreight/CourierServices,MRTN
27,1994,UnitedStates,$13.3B,"MartinMariettaMaterials,Inc.",Mining&QuarryingofNonmetallicMinerals(NoFuels),MLM
28,2002,UnitedStates,$267.88M,MartinMidstreamPartnersL.P.,OilRefining/Marketing,MMLP
29,2000,Bermuda,$14.68B,MarvellTechnologyGroupLtd.,Semiconductors,MRVL
30,n/a,UnitedStates,$10.52B,MascoCorporation,ForestProducts,MAS
31,2007,UnitedStates,$7.36B,MasimoCorporation,Biotechnology:Electromedical&ElectrotherapeuticApparatus,MASI
32,n/a,Canada,$1.24B,MasoniteInternationalCorporation,ForestProducts,DOOR
33,n/a,UnitedStates,$3.63B,"MasTec,Inc.",WaterSupply,MTZ
34,n/a,UnitedStates,$56.53M,"MastechDigital,Inc",ProfessionalServices,MHH
35,2006,UnitedStates,$259.63B,MastercardIncorporated,BusinessServices,MA
36,2015,UnitedStates,$388.34M,"MasterCraftBoatHoldings,Inc.",MarineTransportation,MCFT
37,2012,UnitedStates,$1.97B,MatadorResourcesCompany,Oil&GasProduction,MTDR
38,2015,UnitedStates,$19.59B,"MatchGroup,Inc.","ComputerSoftware:Programming,DataProcessing",MTCH
39,2014,Belgium,$840.43M,MaterialiseNV,ComputerSoftware:PrepackagedSoftware,MTLS
40,n/a,UnitedStates,$1.26B,MaterionCorporation,IndustrialSpecialties,MTRN
41,2017,UnitedStates,$137.27M,"MatinasBiopharmaHoldings,Inc.",MajorPharmaceuticals,MTNB
42,1990,UnitedStates,$510.41M,MatrixServiceCompany,Engineering&Construction,MTRX
43,n/a,UnitedStates,$1.52B,"Matson,Inc.",MarineTransportation,MATX
44,n/a,UnitedStates,$3.66B,"Mattel,Inc.",RecreationalProducts/Toys,MAT
45,1994,UnitedStates,$1.09B,MatthewsInternationalCorporation,MetalFabrications,MATW
46,n/a,UnitedStates,$199.37M,"MauiLand&PineappleCompany,Inc.",RealEstate,MLP
47,n/a,n/a,$420.04M,MaxarTechnologiesInc.,RadioAndTelevisionBroadcastingAndCommunicationsEquipment,MAXR
48,1988,UnitedStates,$14.48B,"MaximIntegratedProducts,Inc.",Semiconductors,MXIM
49,1997,UnitedStates,$4.55B,"Maximus,Inc.",BusinessServices,MMS
50,2010,UnitedStates,$1.49B,"MaxLinear,Inc",Semiconductors,MXL
51,2019,n/a,$313.91M,"MayvilleEngineeringCompany,Inc.",IndustrialSpecialties,MEC
52,1987,UnitedStates,$796.29M,"MBIA,Inc.",Property-CasualtyInsurers,MBI
53,1988,UnitedStates,$19.65M,McClatchyCompany(The),Newspapers/Magazines,MNI
54,n/a,UnitedStates,$20.49B,"McCormick&Company,Incorporated",PackagedFoods,MKC
55,n/a,UnitedStates,n/a,"McCormick&Company,Incorporated",PackagedFoods,MKC.V
56,n/a,UnitedStates,$1.11B,"McDermottInternational,Inc.",MetalFabrications,MDR
57,n/a,UnitedStates,$152.13B,McDonald'sCorporation,Restaurants,MCD
58,n/a,Canada,$471.58M,McEwenMiningInc.,PreciousMetals,MUX
59,1984,UnitedStates,$1.38B,McGrathRentCorp,DiversifiedCommercialServices,MGRC
60,n/a,UnitedStates,$23.53B,McKessonCorporation,OtherPharmaceuticals,MCK
61,n/a,Canada,$203.48M,MDCPartnersInc.,Advertising,MDCA
62,2019,China,$30.33M,MDJMLTD,RealEstate,MDJH
63,n/a,UnitedStates,$4.86B,"MDUResourcesGroup,Inc.",Mining&QuarryingofNonmetallicMinerals(NoFuels),MDU
64,2004,Russia,$467.06M,MechelPAO,Steel/IronOre,MTL
65,n/a,Russia,n/a,MechelPAO,n/a,MTL^
66,2018,UnitedStates,$16.78M,"MedalistDiversifiedREIT,Inc.",RealEstateInvestmentTrusts,MDRR
67,n/a,UnitedStates,$166.54M,MedallionFinancialCorp.,Finance:ConsumerServices,MFIN
68,n/a,UnitedStates,n/a,MedallionFinancialCorp.,Finance:ConsumerServices,MFINL
69,2005,UnitedStates,$7B,"MedicalPropertiesTrust,Inc.",RealEstateInvestmentTrusts,MPW
70,n/a,UnitedStates,$490.9M,"MediciNova,Inc.",MajorPharmaceuticals,MNOV
71,2009,UnitedStates,$5.61B,"MedidataSolutions,Inc.",ComputerSoftware:PrepackagedSoftware,MDSO
72,n/a,UnitedStates,$1.58B,MEDIFASTINC,PackagedFoods,MED
73,n/a,Israel,$8.92M,MedigusLtd.,Medical/DentalInstruments,MDGS
74,n/a,Israel,n/a,MedigusLtd.,Medical/DentalInstruments,MDGSW
75,2014,Israel,$113.34M,MediWoundLtd.,SpecialtyChemicals,MDWD
76,2011,UnitedStates,$146.54M,MedleyCapitalCorporation,n/a,MCC
77,n/a,UnitedStates,n/a,MedleyCapitalCorporation,n/a,MCV
78,2015,UnitedStates,n/a,MedleyCapitalCorporation,n/a,MCX
79,2017,n/a,n/a,MedleyLLC,InvestmentManagers,MDLQ
80,2016,n/a,n/a,MedleyLLC,InvestmentManagers,MDLX
81,2014,UnitedStates,$76.61M,MedleyManagementInc.,InvestmentManagers,MDLY
82,n/a,UnitedStates,$2.17B,"Mednax,Inc",Hospital/NursingManagement,MD
83,2016,UnitedStates,$1.97B,"MedpaceHoldings,Inc.",Biotechnology:CommercialPhysical&BiologicalResarch,MEDP
84,n/a,UnitedStates,$124.12B,Medtronicplc,Biotechnology:Electromedical&ElectrotherapeuticApparatus,MDT
85,2018,n/a,$211.19M,MegalithFinancialAcquisitionCorp.,BusinessServices,MFAC
