,IPO year,country,market capital,name,subsector,symbol
0,n/a,UnitedStates,$30.96M,"NationalSecurityGroup,Inc.",LifeInsurance,NSEC
1,n/a,Brazil,$5.85B,NationalSteelCompany,Steel/IronOre,SID
2,2015,n/a,$1.69B,NationalStorageAffiliatesTrust,RealEstateInvestmentTrusts,NSA
3,n/a,n/a,n/a,NationalStorageAffiliatesTrust,n/a,NSA^A
4,2017,UnitedStates,$2.15B,"NationalVisionHoldings,Inc.",OphthalmicGoods,EYE
5,n/a,UnitedStates,$1B,"NationalWesternLifeGroup,Inc.",LifeInsurance,NWLI
6,n/a,UnitedStates,$87.83M,"NaturalAlternativesInternational,Inc.",SpecialtyChemicals,NAII
7,2002,UnitedStates,$204.86M,"NaturalGasServicesGroup,Inc.",OilfieldServices/Equipment,NGS
8,2012,UnitedStates,$231.34M,"NaturalGrocersbyVitaminCottage,Inc.",FoodChains,NGVC
9,n/a,UnitedStates,$115.85M,NaturalHealthTrendsCorp.,ConsumerSpecialties,NHTC
10,2002,UnitedStates,$481.13M,NaturalResourcePartnersLP,CoalMining,NRP
11,n/a,UnitedStates,$185.79M,"Nature'sSunshineProducts,Inc.",MajorPharmaceuticals,NATR
12,2001,UnitedStates,$861.03M,NatusMedicalIncorporated,Biotechnology:Electromedical&ElectrotherapeuticApparatus,BABY
13,1993,Italy,$35.65M,"Natuzzi,S.p.A.",HomeFurnishings,NTZ
14,n/a,UnitedStates,$82.48M,"NautilusGroup,Inc.(The)",RecreationalProducts/Toys,NLS
15,n/a,UnitedStates,$13.07M,"NavideaBiopharmaceuticals,Inc.",Biotechnology:InVitro&InVivoDiagnosticSubstances,NAVB
16,n/a,UnitedStates,n/a,NavientCorporation,Finance:ConsumerServices,JSM
17,n/a,UnitedStates,$3.16B,NavientCorporation,InvestmentBankers/Brokers/Service,NAVI
18,n/a,UnitedStates,$876.64M,"NavigantConsulting,Inc.",ProfessionalServices,NCI
19,2013,IsleofMan,$558.32M,NavigatorHoldingsLtd.,MarineTransportation,NVGS
20,n/a,Greece,$87.72M,NaviosMaritimeAcquisitionCorporation,MarineTransportation,NNA
21,n/a,Monaco,$68.86M,NaviosMaritimeContainersL.P.,MarineTransportation,NMCI
22,n/a,Monaco,$38.33M,NaviosMaritimeHoldingsInc.,MarineTransportation,NM
23,n/a,Monaco,n/a,NaviosMaritimeHoldingsInc.,n/a,NM^G
24,n/a,Monaco,n/a,NaviosMaritimeHoldingsInc.,n/a,NM^H
25,2007,Greece,$134.93M,NaviosMaritimePartnersLP,MarineTransportation,NMM
26,n/a,UnitedStates,$3.2B,NavistarInternationalCorporation,AutoManufacturing,NAV
27,n/a,UnitedStates,n/a,NavistarInternationalCorporation,AutoManufacturing,NAV^D
28,n/a,UnitedStates,$1.59B,NBTBancorpInc.,MajorBanks,NBTB
29,n/a,UnitedStates,$3.74B,NCRCorporation,OfficeEquipment/Supplies/Services,NCR
30,2017,UnitedStates,$124.14M,"NCSMultistageHoldings,Inc.",OilfieldServices/Equipment,NCSM
31,2018,UnitedStates,$345.47M,NebulaAcquisitionCorporation,BusinessServices,NEBU
32,2018,UnitedStates,n/a,NebulaAcquisitionCorporation,BusinessServices,NEBUU
33,2018,UnitedStates,n/a,NebulaAcquisitionCorporation,BusinessServices,NEBUW
34,n/a,UnitedStates,$973.72M,"Neenah,Inc.",Paper,NP
35,n/a,UnitedStates,$5.6B,NektarTherapeutics,MajorPharmaceuticals,NKTR
36,2003,UnitedStates,$2.37B,"Nelnet,Inc.",Finance:ConsumerServices,NNI
37,n/a,UnitedKingdom,$213.89M,NemauraMedicalInc.,Medical/DentalInstruments,NMRD
38,1989,UnitedStates,$2.93B,NeogenCorporation,Biotechnology:InVitro&InVivoDiagnosticSubstances,NEOG
39,n/a,UnitedStates,$2.04B,"NeoGenomics,Inc.",PrecisionInstruments,NEO
40,2018,UnitedStates,$143.36M,"NeonTherapeutics,Inc.",Biotechnology:BiologicalProducts(NoDiagnosticSubstances),NTGN
41,n/a,Sweden,$26.23M,NeonodeInc.,IndustrialMachinery/Components,NEON
42,2011,UnitedStates,$169.63M,NeoPhotonicsCorporation,Semiconductors,NPTN
43,2015,UnitedStates,$69.61M,"NeosTherapeutics,Inc.",MajorPharmaceuticals,NEOS
44,n/a,Canada,$33.85M,NeovascInc.,Medical/DentalInstruments,NVCN
45,n/a,Canada,$336.81M,NeptuneWellnessSolutionsInc.,MajorPharmaceuticals,NEPT
