,IPO year,country,market capital,name,subsector,symbol
0,n/a,UnitedStates,$6.73B,OldRepublicInternationalCorporation,Property-CasualtyInsurers,ORI
1,n/a,UnitedStates,$371.02M,"OldSecondBancorp,Inc.",MajorBanks,OSBC
2,n/a,UnitedStates,n/a,"OldSecondBancorp,Inc.",MajorBanks,OSBCP
3,n/a,UnitedStates,$3.35B,OlinCorporation,MajorChemicals,OLN
4,2015,UnitedStates,$6.29B,"Ollie'sBargainOutletHoldings,Inc.",Department/SpecialtyRetailStores,OLLI
5,1994,UnitedStates,$140.75M,"OlympicSteel,Inc.",MetalFabrications,ZEUS
6,n/a,UnitedStates,$871.93M,"OmegaFlex,Inc.",IndustrialSpecialties,OFLX
7,1992,UnitedStates,$7.61B,"OmegaHealthcareInvestors,Inc.",RealEstateInvestmentTrusts,OHI
8,2009,UnitedStates,$904.14M,OmerosCorporation,MajorPharmaceuticals,OMER
9,2001,UnitedStates,$3.29B,"Omnicell,Inc.",ComputerManufacturing,OMCL
10,n/a,UnitedStates,$17.07B,OmnicomGroupInc.,Advertising,OMC
11,n/a,UnitedStates,$262.34M,OMNOVASolutionsInc.,SpecialtyChemicals,OMN
12,2014,UnitedStates,$328.73M,"OnDeckCapital,Inc.",Finance:ConsumerServices,ONDK
13,n/a,UnitedStates,$7.47B,ONSemiconductorCorporation,Semiconductors,ON
14,n/a,Israel,$20.22M,OnTrackInnovationsLtd,Semiconductors,OTIV
15,2015,UnitedStates,$211.53M,OncoCyteCorporation,Biotechnology:InVitro&InVivoDiagnosticSubstances,OCX
16,n/a,Canada,$35.93M,OncolyticsBiotechInc.,MajorPharmaceuticals,ONCY
17,2013,UnitedStates,$19.44M,"OnconovaTherapeutics,Inc.",MajorPharmaceuticals,ONTX
18,n/a,UnitedStates,n/a,"OnconovaTherapeutics,Inc.",MajorPharmaceuticals,ONTXW
19,n/a,UnitedStates,$17.59M,OncoSecMedicalIncorporated,MajorPharmaceuticals,ONCS
20,2014,n/a,$4.55B,"ONEGas,Inc.",Oil/GasTransmission,OGS
21,n/a,UnitedStates,$563.98M,"OneLibertyProperties,Inc.",RealEstateInvestmentTrusts,OLP
22,2018,n/a,$412.5M,OneMadisonCorporation,Containers/Packaging,OMAD
23,2018,n/a,n/a,OneMadisonCorporation,n/a,OMAD.U
24,n/a,n/a,n/a,OneMadisonCorporation,n/a,OMAD.WS
25,2018,UnitedStates,$26.59M,"OneStopSystems,Inc.",ComputerManufacturing,OSS
26,2013,n/a,$4.2B,"OneMainHoldings,Inc.",Finance:ConsumerServices,OMF
27,n/a,UnitedStates,$26.47B,"ONEOK,Inc.",Oil&GasProduction,OKE
28,2018,n/a,$1.28B,OneSmartInternationalEducationGroupLimited,OtherConsumerServices,ONE
29,n/a,UnitedStates,$567.83M,OneSpanInc.,EDPServices,OSPN
30,n/a,Bahamas,$789.65M,OneSpaWorldHoldingsLimited,Hotels/Resorts,OSW
31,2015,n/a,$244.41M,"Ooma,Inc.",EDPServices,OOMA
32,2018,UnitedStates,$152.97M,OPBancorp,MajorBanks,OPBK
33,1996,Canada,$10.71B,OpenTextCorporation,EDPServices,OTEX
34,2018,Norway,$1.33B,OperaLimited,n/a,OPRA
35,2018,Mexico,$151.76M,OpesAcquisitionCorp.,BusinessServices,OPES
36,2018,Mexico,n/a,OpesAcquisitionCorp.,BusinessServices,OPESU
37,2018,Mexico,n/a,OpesAcquisitionCorp.,BusinessServices,OPESW
38,2015,UnitedStates,$7.76M,"OpGen,Inc.",MedicalSpecialities,OPGN
39,2015,UnitedStates,n/a,"OpGen,Inc.",MedicalSpecialities,OPGNW
40,n/a,UnitedStates,$48.3M,"OpiantPharmaceuticals,Inc.",PreciousMetals,OPNT
41,n/a,UnitedStates,$1.14B,"OpkoHealth,Inc.",MajorPharmaceuticals,OPK
42,n/a,UnitedStates,$331.05M,"OppenheimerHoldings,Inc.",InvestmentBankers/Brokers/Service,OPY
43,1999,Israel,$63.12M,OptibaseLtd.,RealEstate,OBAS
44,n/a,UnitedStates,$33.32M,OpticalCableCorporation,TelecommunicationsEquipment,OCC
45,n/a,UnitedStates,$187.6M,OptimizeRxCorporation,BusinessServices,OPRX
