,IPO year,country,market capital,name,subsector,symbol
0,2014,n/a,$5.76B,"ParsleyEnergy,Inc.",Oil&GasProduction,PE
1,2019,n/a,$3.02B,ParsonsCorporation,EDPServices,PSN
2,n/a,Israel,$732.87M,PartnerCommunicationsCompanyLtd.,TelecommunicationsEquipment,PTNR
3,n/a,Bermuda,n/a,PartnerReLtd.,n/a,PRE^F
4,n/a,Bermuda,n/a,PartnerReLtd.,n/a,PRE^G
5,n/a,Bermuda,n/a,PartnerReLtd.,n/a,PRE^H
6,n/a,Bermuda,n/a,PartnerReLtd.,n/a,PRE^I
7,2015,UnitedStates,$725.93M,PartyCityHoldcoInc.,OtherSpecialtyStores,PRTY
8,n/a,UnitedStates,$76.28M,"PathfinderBancorp,Inc.",MajorBanks,PBHC
9,n/a,UnitedStates,$1.01B,"PatrickIndustries,Inc.",ForestProducts,PATK
10,n/a,UnitedStates,$59.59M,PatriotNationalBancorpInc.,SpecialtyInsurers,PNBK
11,n/a,UnitedStates,$61.42M,"PatriotTransportationHolding,Inc.",TruckingFreight/CourierServices,PATI
12,2013,UnitedStates,$2.1B,PatternEnergyGroupInc.,ElectricUtilities:Central,PEGI
13,1992,UnitedStates,$2.05B,"PattersonCompanies,Inc.",MedicalSpecialities,PDCO
14,1993,UnitedStates,$2.32B,"Patterson-UTIEnergy,Inc.",Oil&GasProduction,PTEN
15,2016,UnitedStates,$33.57M,PAVmedInc.,Medical/DentalInstruments,PAVM
16,2016,UnitedStates,n/a,PAVmedInc.,Medical/DentalInstruments,PAVMW
17,n/a,UnitedStates,n/a,PAVmedInc.,Medical/DentalInstruments,PAVMZ
18,1983,UnitedStates,$30.99B,"Paychex,Inc.",DiversifiedCommercialServices,PAYX
19,2014,n/a,$12.24B,"PaycomSoftware,Inc.",ComputerSoftware:PrepackagedSoftware,PAYC
20,2014,UnitedStates,$5.33B,PaylocityHoldingCorporation,ComputerSoftware:PrepackagedSoftware,PCTY
21,n/a,UnitedStates,$51.9M,"PaymentDataSystems,Inc.",InvestmentBankers/Brokers/Service,PYDS
22,n/a,UnitedStates,$130.9B,"PayPalHoldings,Inc.",BusinessServices,PYPL
23,n/a,UnitedStates,$476.2M,"Paysign,Inc.",BusinessServices,PAYS
24,n/a,UnitedStates,$85.05M,"PBBancorp,Inc.",SavingsInstitutions,PBBI
25,2012,UnitedStates,$3.32B,PBFEnergyInc.,IntegratedoilCompanies,PBF
26,2014,n/a,$1.24B,PBFLogisticsLP,NaturalGasDistribution,PBFX
27,n/a,UnitedStates,$866.96M,"PCConnection,Inc.",Catalog/SpecialtyDistribution,CNXN
28,n/a,UnitedStates,$316.47M,"PCM,Inc.",Catalog/SpecialtyDistribution,PCMI
29,2017,UnitedStates,$349.14M,PCSBFinancialCorporation,Banks,PCSB
30,1999,UnitedStates,$94.11M,"PC-Tel,Inc.",RadioAndTelevisionBroadcastingAndCommunicationsEquipment,PCTI
31,n/a,UnitedStates,$2.02B,"PDCEnergy,Inc.",Oil&GasProduction,PDCE
32,2001,UnitedStates,$396.28M,"PDFSolutions,Inc.",EDPServices,PDFS
33,1992,UnitedStates,$355.93M,"PDLBioPharma,Inc.",Biotechnology:BiologicalProducts(NoDiagnosticSubstances),PDLI
34,2017,UnitedStates,$253.37M,PDLCommunityBancorp,SavingsInstitutions,PDLB
35,2015,UnitedStates,$36.29M,PDSBiotechnologyCorporation,MajorPharmaceuticals,PDSB
36,2015,UnitedStates,$708.63M,"pdvWireless,Inc.",TelecommunicationsEquipment,PDVW
37,2017,UnitedStates,$2.53B,PeabodyEnergyCorporation,CoalMining,BTU
38,2014,UnitedStates,$61.57M,"PeakResorts,Inc.",Hotels/Resorts,SKIS
39,n/a,UnitedStates,$533.8M,Peapack-GladstoneFinancialCorporation,CommercialBanks,PGC
40,n/a,UnitedKingdom,$7.8B,"Pearson,Plc",Books,PSO
41,2009,UnitedStates,$3.67B,PebblebrookHotelTrust,RealEstateInvestmentTrusts,PEB
42,n/a,UnitedStates,n/a,PebblebrookHotelTrust,n/a,PEB^C
43,n/a,UnitedStates,n/a,PebblebrookHotelTrust,n/a,PEB^D
44,n/a,UnitedStates,n/a,PebblebrookHotelTrust,n/a,PEB^E
45,n/a,UnitedStates,n/a,PebblebrookHotelTrust,n/a,PEB^F
46,n/a,UnitedStates,$103.76M,PedevcoCorp.,Oil&GasProduction,PED
47,1996,UnitedStates,$5.78B,PegasystemsInc.,EDPServices,PEGA
48,n/a,Canada,$18.21B,PembinaPipelineCorp.,Oil&GasProduction,PBA
49,1994,UnitedStates,$2.31B,"PennNationalGaming,Inc.",Hotels/Resorts,PENN
50,n/a,UnitedStates,$474.32M,PennVirginiaCorporation,Oil&GasProduction,PVAC
51,n/a,UnitedStates,$462.94M,PennantParkFloatingRateCapitalLtd.,n/a,PFLT
52,2007,UnitedStates,$441.83M,PennantParkInvestmentCorporation,n/a,PNNT
53,n/a,UnitedStates,$197.97M,"PennsWoodsBancorp,Inc.",MajorBanks,PWOD
54,n/a,UnitedStates,$513.05M,PennsylvaniaRealEstateInvestmentTrust,RealEstateInvestmentTrusts,PEI
55,n/a,UnitedStates,n/a,PennsylvaniaRealEstateInvestmentTrust,n/a,PEI^B
56,n/a,UnitedStates,n/a,PennsylvaniaRealEstateInvestmentTrust,n/a,PEI^C
57,n/a,UnitedStates,n/a,PennsylvaniaRealEstateInvestmentTrust,n/a,PEI^D
58,2013,UnitedStates,$1.7B,"PennyMacFinancialServices,Inc.",Finance:ConsumerServices,PFSI
59,2009,UnitedStates,$1.6B,PennyMacMortgageInvestmentTrust,RealEstateInvestmentTrusts,PMT
60,n/a,UnitedStates,n/a,PennyMacMortgageInvestmentTrust,n/a,PMT^A
61,n/a,UnitedStates,n/a,PennyMacMortgageInvestmentTrust,n/a,PMT^B
62,2017,UnitedStates,$372.41M,PensareAcquisitionCorp.,BusinessServices,WRLS
63,2017,UnitedStates,n/a,PensareAcquisitionCorp.,BusinessServices,WRLSR
64,2017,UnitedStates,n/a,PensareAcquisitionCorp.,BusinessServices,WRLSU
65,2017,UnitedStates,n/a,PensareAcquisitionCorp.,BusinessServices,WRLSW
66,n/a,UnitedStates,$3.7B,"PenskeAutomotiveGroup,Inc.",AutomotiveAftermarket,PAG
67,n/a,Switzerland,$6.1B,Pentairplc.,IndustrialMachinery/Components,PNR
68,2015,n/a,$5.08B,"Penumbra,Inc.",Medical/DentalInstruments,PEN
69,n/a,UnitedStates,$647.47M,PeoplesBancorpInc.,MajorBanks,PEBO
70,n/a,UnitedStates,$163.66M,"PeoplesBancorpofNorthCarolina,Inc.",MajorBanks,PEBK
71,n/a,UnitedStates,$321.78M,PeoplesFinancialServicesCorp.,MajorBanks,PFIS
72,n/a,UnitedStates,$6.2B,"People'sUnitedFinancial,Inc.",SavingsInstitutions,PBCT
73,n/a,UnitedStates,$262.6M,"People'sUnitedFinancial,Inc.",SavingsInstitutions,PBCTP
74,2015,UnitedStates,$548.44M,People'sUtahBancorp,MajorBanks,PUB
75,n/a,Japan,$355.05M,"PepperFoodServiceCo.,Ltd.",Restaurants,KPFS
76,n/a,UnitedStates,$180.29B,"Pepsico,Inc.",Beverages(Production/Distribution),PEP
77,1992,UnitedStates,$41.47M,"Perceptron,Inc.",ElectronicComponents,PRCP
78,1999,UnitedStates,$1.03B,"Perficient,Inc.",EDPServices,PRFT
79,2015,UnitedStates,$4.16B,PerformanceFoodGroupCompany,FoodDistributors,PFGC
80,n/a,Greece,$28.09M,PerformanceShippingInc.,MarineTransportation,DCIX
81,2012,UnitedStates,$89.29M,PerformantFinancialCorporation,OtherConsumerServices,PFMT
82,n/a,Israel,$80.89M,PerionNetworkLtd,EDPServices,PERI
83,n/a,UnitedStates,$9.53B,"PerkinElmer,Inc.",Biotechnology:LaboratoryAnalyticalInstruments,PKI
84,n/a,UnitedStates,$49.78M,"Perma-FixEnvironmentalServices,Inc.",EnvironmentalServices,PESI
85,n/a,UnitedStates,$71.4M,"Perma-PipeInternationalHoldings,Inc.",PollutionControlEquipment,PPIH
86,n/a,UnitedStates,$267.53M,PermianBasinRoyaltyTrust,Oil&GasProduction,PBT
87,2011,UnitedStates,$90.75M,PermianvilleRoyaltyTrust,Oil&GasProduction,PVL
88,2018,UnitedStates,$108.52M,PermRockRoyaltyTrust,Oil&GasProduction,PRT
89,n/a,UnitedStates,$5.86B,PerrigoCompany,MajorPharmaceuticals,PRGO
90,2018,n/a,$3.54B,PerspectaInc.,EDPServices,PRSP
91,2017,UnitedStates,$590.57M,"PetIQ,Inc.",OtherPharmaceuticals,PETQ
92,n/a,UnitedStates,$359.57M,"PetMedExpress,Inc.",Medical/NursingServices,PETS
93,n/a,China,$102.8B,PetroChinaCompanyLimited,Oil&GasProduction,PTR
94,n/a,n/a,n/a,PetroleoBrasileiroS.A.-Petrobras,n/a,PBR.A
95,n/a,Brazil,$94.57B,PetroleoBrasileiroS.A.-Petrobras,Oil&GasProduction,PBR
96,2014,UnitedStates,$208.23M,PfenexInc.,MajorPharmaceuticals,PFNX
97,n/a,UnitedStates,$232.96B,"Pfizer,Inc.",MajorPharmaceuticals,PFE
98,1999,UnitedStates,$73.19M,"PFSweb,Inc.",BusinessServices,PFSW
99,2012,UnitedStates,$569.66M,"PGIMGlobalHighYieldFund,Inc.",n/a,GHY
100,2012,UnitedStates,$473.58M,"PGIMHighYieldBondFund,Inc.",n/a,ISD
101,2006,UnitedStates,$882.79M,"PGTInnovations,Inc.",BuildingProducts,PGTI
102,2018,UnitedStates,$320.34M,"PhaseBioPharmaceuticals,Inc.",MajorPharmaceuticals,PHAS
103,2014,UnitedStates,$1.21B,PhibroAnimalHealthCorporation,MajorPharmaceuticals,PAHC
104,n/a,UnitedStates,$123.84B,PhilipMorrisInternationalInc,Farming/Seeds/Milling,PM
105,n/a,UnitedStates,$37.22B,Phillips66,IntegratedoilCompanies,PSX
106,2013,UnitedStates,$6.01B,Phillips66PartnersLP,NaturalGasDistribution,PSXP
107,n/a,UnitedStates,$10.46M,PhioPharmaceuticalsCorp.,MajorPharmaceuticals,PHIO
108,n/a,UnitedStates,n/a,PhioPharmaceuticalsCorp.,MajorPharmaceuticals,PHIOW
109,2011,China,$262.74M,PhoenixNewMediaLimited,Broadcasting,FENG
110,1987,UnitedStates,$565.24M,"Photronics,Inc.",Semiconductors,PLAB
111,2016,Greece,$194.44M,"Phunware,Inc.",EDPServices,PHUN
112,2016,Greece,n/a,"Phunware,Inc.",EDPServices,PHUNW
113,2013,UnitedStates,$3.41B,PhysiciansRealtyTrust,RealEstateInvestmentTrusts,DOC
114,n/a,UnitedStates,$214.65M,PICOHoldingsInc.,RealEstate,PICO
115,n/a,Australia,$66.52M,PiedmontLithiumLimited,n/a,PLL
116,n/a,UnitedStates,$2.53B,"PiedmontOfficeRealtyTrust,Inc.",Buildingoperators,PDM
117,n/a,UnitedStates,$51.11M,"Pier1Imports,Inc.",HomeFurnishings,PIR
118,n/a,Germany,$216.85M,"PierisPharmaceuticals,Inc.",Biotechnology:CommercialPhysical&BiologicalResarch,PIRS
119,n/a,UnitedStates,$6.49B,Pilgrim'sPrideCorporation,Meat/Poultry/Fish,PPC
120,2001,UnitedStates,$353.51M,PIMCOCaliforniaMunicipalIncomeFund,n/a,PCQ
121,2002,UnitedStates,$295.01M,PimcoCaliforniaMunicipalIncomeFundII,n/a,PCK
122,2002,UnitedStates,$244.55M,PIMCOCaliforniaMunicipalIncomeFundIII,n/a,PZC
123,1993,UnitedStates,$130.98M,"PIMCOCommercialMortgageSecuritiesTrust,Inc.",n/a,PCM
124,2002,UnitedStates,$1.57B,PimcoCorporate&IncomeOpportunityFund,n/a,PTY
125,2001,UnitedStates,$689.57M,PimcoCorporate&IncomeStategyFund,n/a,PCN
126,2013,n/a,$3.28B,PIMCODynamicCreditandMortgageIncomeFund,n/a,PCI
127,2012,UnitedStates,$1.83B,PIMCODynamicIncomeFund,n/a,PDI
128,2019,n/a,$804M,PIMCOEnergyandTacticalCreditOpportunitiesFund,n/a,NRGX
129,2005,UnitedStates,$131.44M,PimcoGlobalStocksplus&IncomeFund,n/a,PGP
130,2003,UnitedStates,$1.02B,PimcoHighIncomeFund,n/a,PHK
131,n/a,UnitedStates,$422.54M,PimcoIncomeOpportunityFund,n/a,PKO
132,2003,UnitedStates,$312.49M,PIMCOIncomeStrategyFund,n/a,PFL
133,2004,UnitedStates,$648.02M,PIMCOIncomeStrategyFundII,n/a,PFN
134,2001,UnitedStates,$379.99M,PIMCOMunicipalIncomeFund,n/a,PMF
135,2002,UnitedStates,$937.97M,PimcoMunicipalIncomeFundII,n/a,PML
136,2002,UnitedStates,$405.14M,PIMCOMunicipalIncomeFundIII,n/a,PMX
137,2001,UnitedStates,$104.95M,PIMCONewYorkMunicipalIncomeFund,n/a,PNF
138,2002,UnitedStates,$129.54M,PimcoNewYorkMunicipalIncomeFundII,n/a,PNI
139,2002,UnitedStates,$56.26M,PIMCONewYorkMunicipalIncomeFundIII,n/a,PYN
140,1994,UnitedStates,$408.14M,"PIMCOStrategicIncomeFund,Inc.",n/a,RCS
141,2018,China,$21.89B,PinduoduoInc.,BusinessServices,PDD
142,n/a,China,$178.66M,PingtanMarineEnterpriseLtd.,n/a,PME
143,n/a,UnitedStates,$4.13B,"PinnacleFinancialPartners,Inc.",MajorBanks,PNFP
144,n/a,UnitedStates,$10.44B,PinnacleWestCapitalCorporation,ElectricUtilities:Central,PNW
145,2018,China,$31.86M,PintecTechnologyHoldingsLimited,"ComputerSoftware:Programming,DataProcessing",PT
146,2019,n/a,$13.84B,"Pinterest,Inc.","ComputerSoftware:Programming,DataProcessing",PINS
147,2007,UnitedStates,$119.08M,PioneerDiversifiedHighIncomeTrust,n/a,HNW
148,n/a,UnitedStates,$25.91M,PioneerEnergyServicesCorp.,Oil&GasProduction,PES
149,2004,UnitedStates,$261.73M,PioneerFloatingRateTrust,n/a,PHD
150,n/a,UnitedStates,$266.01M,PioneerHighIncomeTrust,n/a,PHT
151,n/a,UnitedStates,$256.68M,PioneerMunicipalHighIncomeAdvantageTrust,n/a,MAV
152,2003,n/a,$272.8M,PioneerMunicipalHighIncomeTrust,n/a,MHI
153,n/a,UnitedStates,$24.33B,PioneerNaturalResourcesCompany,Oil&GasProduction,PXD
154,n/a,UnitedStates,$44.07M,"PioneerPowerSolutions,Inc.",ElectricalProducts,PPSI
155,n/a,UnitedStates,$1.03B,PiperJaffrayCompanies,InvestmentBankers/Brokers/Service,PJC
156,n/a,UnitedStates,$722.9M,PitneyBowesInc.,OfficeEquipment/Supplies/Services,PBI
157,n/a,UnitedStates,n/a,PitneyBowesInc.,n/a,PBI^B
158,2019,n/a,$293.25M,PivotalAcquisitionCorp.,BusinessServices,PVT
159,2019,n/a,n/a,PivotalAcquisitionCorp.,n/a,PVT.U
160,n/a,n/a,n/a,PivotalAcquisitionCorp.,n/a,PVT.WS
161,2018,UnitedStates,$5.82B,"PivotalSoftware,Inc.",ComputerSoftware:PrepackagedSoftware,PVTL
162,2000,UnitedStates,$111.88M,"Pixelworks,Inc.",Semiconductors,PXLW
163,2015,UnitedStates,$907.72M,PJTPartnersInc.,InvestmentManagers,PJT
164,1998,UnitedStates,$16.59B,"PlainsAllAmericanPipeline,L.P.",NaturalGasDistribution,PAA
165,2013,n/a,$3.63B,"PlainsGroupHoldings,L.P.",NaturalGasDistribution,PAGP
166,2015,UnitedStates,$7.03B,"PlanetFitness,Inc.",Hotels/Resorts,PLNT
167,n/a,China,$29.93M,PlanetGreenHoldingsCorp,PackagedFoods,PLAG
168,1994,UnitedStates,$1.73B,"Plantronics,Inc.",TelecommunicationsEquipment,PLT
169,n/a,Canada,$43.86M,PlatinumGroupMetalsLtd.,PreciousMetals,PLG
170,n/a,Netherlands,$1.06B,PlayaHotels&ResortsN.V.,Hotels/Resorts,PLYA
171,2018,UnitedStates,$673.87M,"PlayAGS,Inc.",Miscellaneousmanufacturingindustries,AGS
172,n/a,Philippines,$5.33B,PLDTInc.,TelecommunicationsEquipment,PHI
173,n/a,UnitedStates,$1.56B,PlexusCorp.,ElectricalProducts,PLXS
174,1999,UnitedStates,$642.99M,"PlugPower,Inc.",IndustrialMachinery/Components,PLUG
175,n/a,UnitedStates,$127.55M,PlumasBancorp,FinanceCompanies,PLBC
176,2018,UnitedStates,$3.2B,"Pluralsight,Inc.","ComputerSoftware:Programming,DataProcessing",PS
177,n/a,Israel,$96.96M,"PluristemTherapeutics,Inc.",Biotechnology:BiologicalProducts(NoDiagnosticSubstances),PSTI
178,2014,UnitedStates,$43.99M,PLxPharmaInc.,MajorPharmaceuticals,PLXP
179,n/a,UnitedStates,n/a,"PlymouthIndustrialREIT,Inc.",n/a,PLYM^A
180,2017,UnitedStates,$93.5M,"PlymouthIndustrialREIT,Inc.",RealEstateInvestmentTrusts,PLYM
181,n/a,UnitedStates,$58.06B,"PNCFinancialServicesGroup,Inc.(The)",MajorBanks,PNC
182,n/a,UnitedStates,n/a,"PNCFinancialServicesGroup,Inc.(The)",n/a,PNC^P
183,n/a,UnitedStates,n/a,"PNCFinancialServicesGroup,Inc.(The)",n/a,PNC^Q
184,n/a,UnitedStates,$3.69B,"PNMResources,Inc.(HoldingCo.)",ElectricUtilities:Central,PNM
185,n/a,Israel,$115.39M,PointerTelocationLtd.,RadioAndTelevisionBroadcastingAndCommunicationsEquipment,PNTR
186,n/a,Canada,$174.89M,"PointsInternational,Ltd.",BusinessServices,PCOM
187,2016,UnitedStates,$42.6M,"PolarPower,Inc.",IndustrialMachinery/Components,POLA
188,n/a,UnitedStates,$5.21B,PolarisIndustriesInc.,IndustrialSpecialties,PII
189,n/a,UnitedStates,$153.16M,"PolarityTE,Inc.",Biotechnology:BiologicalProducts(NoDiagnosticSubstances),PTE
190,n/a,n/a,n/a,PolymetMiningCorp.,n/a,PLM~$
191,n/a,Canada,$138.08M,PolymetMiningCorp.,PreciousMetals,PLM
192,n/a,UnitedStates,$1.98B,PolyOneCorporation,MajorChemicals,POL
193,1995,UnitedStates,$7.12B,PoolCorporation,IndustrialSpecialties,POOL
194,n/a,UnitedStates,$294.55M,PopeResources,EnvironmentalServices,POPE
195,n/a,UnitedStates,$5.13B,"Popular,Inc.",MajorBanks,BPOP
196,n/a,UnitedStates,n/a,"Popular,Inc.",MajorBanks,BPOPM
197,n/a,UnitedStates,$322.8M,"Popular,Inc.",MajorBanks,BPOPN
198,n/a,UnitedStates,$4.65B,PortlandGeneralElectricCompany,ElectricUtilities:Central,POR
199,n/a,UnitedStates,n/a,PortmanRidgeFinanceCorporation,n/a,KCAPL
200,n/a,UnitedStates,$99.37M,PortmanRidgeFinanceCorporation,n/a,PTMN
201,2013,UnitedStates,$2B,"PortolaPharmaceuticals,Inc.",MajorPharmaceuticals,PTLA
202,1994,SouthKorea,$15.97B,POSCO,Steel/IronOre,PKX
203,2019,UnitedStates,$56.75M,"PositivePhysiciansHoldings,Inc.",Property-CasualtyInsurers,PPHI
204,2012,UnitedStates,$7.82B,"PostHoldings,Inc.",PackagedFoods,POST
205,2019,n/a,$85M,"PostalRealtyTrust,Inc.",RealEstateInvestmentTrusts,PSTL
206,2013,UnitedStates,$117.08M,PotbellyCorporation,Restaurants,PBPB
207,n/a,UnitedStates,$2.31B,PotlatchDelticCorporation,RealEstateInvestmentTrusts,PCH
208,n/a,UnitedStates,$411.85M,"PowellIndustries,Inc.",ElectricalProducts,POWL
209,1997,UnitedStates,$1.93B,"PowerIntegrations,Inc.",Semiconductors,POWI
210,n/a,UnitedStates,n/a,PowerREIT,n/a,PW^A
211,n/a,UnitedStates,$10.79M,PowerREIT,RealEstateInvestmentTrusts,PW
212,2019,China,$34.62M,"PowerbridgeTechnologiesCo.,Ltd.",EDPServices,PBTS
213,2017,UnitedStates,$1.44B,PPDAIGroupInc.,Finance:ConsumerServices,PPDF
214,n/a,UnitedStates,$25.32B,"PPGIndustries,Inc.",Paints/Coatings,PPG
215,n/a,n/a,n/a,"PPLCapitalFunding,Inc.",ElectricUtilities:Central,PPX
216,n/a,UnitedStates,$21.57B,PPLCorporation,ElectricUtilities:Central,PPL
217,n/a,UnitedStates,n/a,PPlusTrust,Finance:ConsumerServices,PYS
218,n/a,UnitedStates,n/a,PPlusTrust,Finance:ConsumerServices,PYT
219,2017,UnitedStates,$2.08B,PQGroupHoldingsInc.,MajorChemicals,PQG
220,2002,UnitedStates,$1.27B,"PRAGroup,Inc.",Finance:ConsumerServices,PRAA
221,2014,UnitedStates,$5.73B,"PRAHealthSciences,Inc.",Biotechnology:CommercialPhysical&BiologicalResarch,PRAH
222,n/a,UnitedStates,$34.16M,"Precipio,Inc.",Biotechnology:LaboratoryAnalyticalInstruments,PRPO
223,2019,UnitedStates,$643.62M,"PrecisionBioSciences,Inc.",Biotechnology:BiologicalProducts(NoDiagnosticSubstances),DTIL
224,n/a,Canada,$534.56M,PrecisionDrillingCorporation,Oil&GasProduction,PDS
225,n/a,UnitedStates,$16.11M,PrecisionTherapeuticsInc.,IndustrialSpecialties,AIPT
226,2011,UnitedStates,$689.35M,"PreferredApartmentCommunities,Inc.",RealEstateInvestmentTrusts,APTS
227,n/a,UnitedStates,$691.51M,PreferredBank,n/a,PFBC
228,n/a,UnitedStates,$244.58M,PreformedLineProductsCompany,WaterSupply,PLPC
229,1996,UnitedStates,$230.67M,"PremierFinancialBancorp,Inc.",MajorBanks,PFBI
230,2013,UnitedStates,$2.29B,"Premier,Inc.",OtherConsumerServices,PINC
231,2017,UnitedStates,$1.12B,"Presidio,Inc.",Retail:ComputerSoftware&PeripheralEquipment,PSDO
232,2005,UnitedStates,$1.5B,PrestigeConsumerHealthcareInc.,MajorPharmaceuticals,PBH
233,n/a,Canada,$1.51B,"PretiumResources,Inc.",PreciousMetals,PVG
234,1996,UnitedStates,$155.39M,"PRGXGlobal,Inc.",DiversifiedCommercialServices,PRGX
235,n/a,UnitedStates,$1.56B,"PriceSmart,Inc.",Department/SpecialtyRetailStores,PSMT
236,n/a,UnitedStates,$275.92M,PrimeEnergyResourcesCorporation,Oil&GasProduction,PNRG
237,2010,UnitedStates,$4.92B,"Primerica,Inc.",LifeInsurance,PRI
238,2010,UnitedStates,$447.51M,PrimoWaterCorporation,FoodDistributors,PRMW
239,n/a,UnitedStates,$944.79M,PrimorisServicesCorporation,WaterSupply,PRIM
240,n/a,UnitedStates,$4.98M,PrincipalContrarianValueIndexETF,n/a,PVAL
241,2001,UnitedStates,$15.08B,PrincipalFinancialGroupInc,Accident&HealthInsurance,PFG
242,n/a,UnitedStates,$59.34M,PrincipalHealthcareInnovatorsIndexETF,n/a,BTEC
243,n/a,UnitedStates,$14.12M,PrincipalInternationalMulti-FactorIndexETF,n/a,PXUS
244,n/a,UnitedStates,$19.8M,PrincipalMillennialsIndexETF,n/a,GENY
245,n/a,UnitedStates,$14.22M,PrincipalPriceSettersIndexETF,n/a,PSET
246,2013,n/a,$129.19M,PrincipalRealEstateIncomeFund,n/a,PGZ
247,n/a,UnitedStates,$13.42M,PrincipalShareholderYieldIndexETF,n/a,PY
248,n/a,UnitedStates,$5.38M,PrincipalSustainableMomentumIndexETF,n/a,PMOM
