,IPO year,country,market capital,name,subsector,symbol
0,2014,n/a,$3.27B,"Q2Holdings,Inc.",ComputerSoftware:PrepackagedSoftware,QTWO
1,n/a,UnitedStates,$842.43M,QADInc.,ComputerSoftware:PrepackagedSoftware,QADA
2,n/a,UnitedStates,$648.02M,QADInc.,ComputerSoftware:PrepackagedSoftware,QADB
3,n/a,UnitedStates,$511.51M,"QCRHoldings,Inc.",MajorBanks,QCRH
4,n/a,UnitedStates,$1.67B,"QEPResources,Inc.",Oil&GasProduction,QEP
5,n/a,Netherlands,$8.6B,QiagenN.V.,Biotechnology:BiologicalProducts(NoDiagnosticSubstances),QGEN
6,2013,Cyprus,$1.06B,QIWIplc,BusinessServices,QIWI
7,n/a,UnitedStates,$7.37B,"Qorvo,Inc.",Semiconductors,QRVO
8,2013,UnitedStates,$2.56B,"QTSRealtyTrust,Inc.",RealEstateInvestmentTrusts,QTS
9,n/a,UnitedStates,n/a,"QTSRealtyTrust,Inc.",n/a,QTS^A
10,n/a,UnitedStates,n/a,"QTSRealtyTrust,Inc.",n/a,QTS^B
11,n/a,UnitedStates,$326.62M,"QuadGraphics,Inc",Publishing,QUAD
12,n/a,UnitedStates,$2.47B,QuakerChemicalCorporation,MajorChemicals,KWR
13,1991,UnitedStates,$80.95B,QUALCOMMIncorporated,RadioAndTelevisionBroadcastingAndCommunicationsEquipment,QCOM
14,2000,UnitedStates,$11.25M,QualstarCorporation,ElectronicComponents,QBAK
15,2012,UnitedStates,$3.53B,"Qualys,Inc.",ComputerSoftware:PrepackagedSoftware,QLYS
16,n/a,UnitedStates,$528.02M,QuanexBuildingProductsCorporation,MetalFabrications,NX
17,n/a,UnitedStates,$5.03B,"QuantaServices,Inc.",Engineering&Construction,PWR
18,2016,UnitedStates,$935.93M,"QuantennaCommunications,Inc.",Semiconductors,QTNA
19,2017,UnitedStates,$528.75M,QuanterixCorporation,Biotechnology:LaboratoryAnalyticalInstruments,QTRX
20,n/a,Canada,$128.3M,QuarterhillInc.,Multi-SectorCompanies,QTRH
21,2017,China,$2.01B,QudianInc.,Finance:ConsumerServices,QD
22,n/a,UnitedStates,$12.9B,QuestDiagnosticsIncorporated,MedicalSpecialities,DGX
23,n/a,UnitedStates,$41.48M,QuestResourceHoldingCorporation,DiversifiedCommercialServices,QRHC
24,1999,UnitedStates,$68.73M,QuickLogicCorporation,Semiconductors,QUIK
25,n/a,UnitedStates,$2.22B,QuidelCorporation,Biotechnology:InVitro&InVivoDiagnosticSubstances,QDEL
26,2010,UnitedStates,$773.35M,"QuinStreet,Inc.",BusinessServices,QNST
27,2018,n/a,$85.57M,QuintanaEnergyServicesInc.,OilfieldServices/Equipment,QES
28,n/a,UnitedStates,$31.62M,QumuCorporation,ComputerSoftware:PrepackagedSoftware,QUMU
29,2016,n/a,$59.05M,QuorumHealthCorporation,Hospital/NursingManagement,QHC
30,2014,UnitedKingdom,$666.42M,QuotientLimited,Biotechnology:InVitro&InVivoDiagnosticSubstances,QTNT
31,2014,n/a,$984.33M,QuotientTechnologyInc.,Advertising,QUOT
32,n/a,UnitedStates,$5.46B,"QurateRetail,Inc.",Catalog/SpecialtyDistribution,QRTEA
33,n/a,UnitedStates,$5.57B,"QurateRetail,Inc.",Catalog/SpecialtyDistribution,QRTEB
34,2018,China,$1.35B,QutoutiaoInc.,n/a,QTT
35,2018,UnitedStates,n/a,"QVC,Inc.",Catalog/SpecialtyDistribution,QVCD
36,2016,UnitedStates,n/a,QwestCorporation,TelecommunicationsEquipment,CTAA
37,2016,UnitedStates,n/a,QwestCorporation,TelecommunicationsEquipment,CTBB
38,2017,UnitedStates,n/a,QwestCorporation,TelecommunicationsEquipment,CTDD
39,2014,UnitedStates,n/a,QwestCorporation,TelecommunicationsEquipment,CTV
40,2013,UnitedStates,n/a,QwestCorporation,TelecommunicationsEquipment,CTY
41,n/a,UnitedStates,n/a,QwestCorporation,TelecommunicationsEquipment,CTZ
42,2014,n/a,$3.27B,"Q2Holdings,Inc.",ComputerSoftware:PrepackagedSoftware,QTWO
43,n/a,UnitedStates,$842.43M,QADInc.,ComputerSoftware:PrepackagedSoftware,QADA
44,n/a,UnitedStates,$648.02M,QADInc.,ComputerSoftware:PrepackagedSoftware,QADB
45,n/a,UnitedStates,$511.51M,"QCRHoldings,Inc.",MajorBanks,QCRH
46,n/a,UnitedStates,$1.67B,"QEPResources,Inc.",Oil&GasProduction,QEP
47,n/a,Netherlands,$8.6B,QiagenN.V.,Biotechnology:BiologicalProducts(NoDiagnosticSubstances),QGEN
48,2013,Cyprus,$1.06B,QIWIplc,BusinessServices,QIWI
49,n/a,UnitedStates,$7.37B,"Qorvo,Inc.",Semiconductors,QRVO
50,2013,UnitedStates,$2.56B,"QTSRealtyTrust,Inc.",RealEstateInvestmentTrusts,QTS
