,IPO year,country,market capital,name,subsector,symbol
0,n/a,UnitedStates,$196.29M,RedLionHotelsCorporation,Hotels/Resorts,RLH
1,2019,UnitedStates,$385.8M,"RedRiverBancshares,Inc.",MajorBanks,RRBI
2,2002,UnitedStates,$400.37M,"RedRobinGourmetBurgers,Inc.",Restaurants,RRGB
3,2016,UnitedStates,$2.5B,"RedRockResorts,Inc.",Hotels/Resorts,RRR
4,n/a,UnitedStates,$125.39M,"RedViolet,Inc.",ComputerSoftware:PrepackagedSoftware,RDVT
5,2017,UnitedStates,$1.49B,RedfinCorporation,RealEstate,RDFN
6,n/a,Israel,$162.22M,RedhillBiopharmaLtd.,MajorPharmaceuticals,RDHL
7,1995,UnitedStates,$1.55B,"RedwoodTrust,Inc.",RealEstateInvestmentTrusts,RWT
8,2017,Singapore,$23.94M,ReebonzHoldingLimited,Catalog/SpecialtyDistribution,RBZ
9,n/a,UnitedStates,$116.47M,"Reeds,Inc.",Beverages(Production/Distribution),REED
10,n/a,UnitedStates,$3.19B,RegalBeloitCorporation,MetalFabrications,RBC
11,2018,UnitedStates,$382.13M,RegalwoodGlobalEnergyLtd.,BusinessServices,RWGE
12,2017,UnitedStates,n/a,RegalwoodGlobalEnergyLtd.,n/a,RWGE.U
13,n/a,UnitedStates,n/a,RegalwoodGlobalEnergyLtd.,n/a,RWGE.WS
14,1993,UnitedStates,$10.94B,RegencyCentersCorporation,RealEstateInvestmentTrusts,REG
15,1991,UnitedStates,$33.76B,"RegeneronPharmaceuticals,Inc.",MajorPharmaceuticals,REGN
16,2015,UnitedStates,$1.6B,REGENXBIOInc.,Biotechnology:BiologicalProducts(NoDiagnosticSubstances),RGNX
17,n/a,n/a,n/a,"RegionalHealthProperties,Inc.",n/a,RHE^A
18,2017,n/a,$3.04M,"RegionalHealthProperties,Inc.",Hospital/NursingManagement,RHE
19,2012,UnitedStates,$307.79M,RegionalManagementCorp.,Finance:ConsumerServices,RM
20,n/a,UnitedStates,$14.25B,RegionsFinancialCorporation,MajorBanks,RF
21,n/a,UnitedStates,n/a,RegionsFinancialCorporation,n/a,RF^A
22,n/a,UnitedStates,n/a,RegionsFinancialCorporation,n/a,RF^B
23,n/a,UnitedStates,n/a,RegionsFinancialCorporation,n/a,RF^C
24,1991,UnitedStates,$753.5M,RegisCorporation,OtherConsumerServices,RGS
25,2012,UnitedStates,$24.86M,RegulusTherapeuticsInc.,MajorPharmaceuticals,RGLS
26,n/a,UnitedStates,$9.28B,"ReinsuranceGroupofAmerica,Incorporated",LifeInsurance,RGA
27,n/a,UnitedStates,n/a,"ReinsuranceGroupofAmerica,Incorporated",LifeInsurance,RZA
28,2016,UnitedStates,n/a,"ReinsuranceGroupofAmerica,Incorporated",LifeInsurance,RZB
29,n/a,UnitedStates,$18.97M,"RekorSystems,Inc.",TelecommunicationsEquipment,REKR
30,1994,UnitedStates,$5.71B,RelianceSteel&AluminumCo.,MetalFabrications,RS
31,n/a,UnitedStates,$251.21M,"ReliantBancorp,Inc.",MajorBanks,RBNC
32,n/a,UnitedStates,$7.95M,"Reliv'International,Inc.",MajorPharmaceuticals,RELV
33,2015,UnitedKingdom,$45.81B,RELXPLC,Publishing,RELX
34,n/a,UnitedStates,$46.45M,"RemarkHoldings,Inc.",TelecommunicationsEquipment,MARK
35,n/a,Bermuda,$7.62B,RenaissanceReHoldingsLtd.,Property-CasualtyInsurers,RNR
36,n/a,Bermuda,n/a,RenaissanceReHoldingsLtd.,n/a,RNR^C
37,n/a,Bermuda,n/a,RenaissanceReHoldingsLtd.,n/a,RNR^E
38,n/a,Bermuda,n/a,RenaissanceReHoldingsLtd.,n/a,RNR^F
39,n/a,UnitedStates,$2.02B,RenasantCorporation,MajorBanks,RNST
40,2008,China,$48.36M,RenesolaLtd.,Semiconductors,SOL
41,2012,UnitedStates,$586.1M,"RenewableEnergyGroup,Inc.",MajorChemicals,REGI
42,n/a,UnitedStates,$9.05M,"RENNFund,Inc.",n/a,RCG
43,2011,China,$91.05M,RenrenInc.,EDPServices,RENN
44,1995,UnitedStates,$1.3B,Rent-A-CenterInc.,DiversifiedCommercialServices,RCII
45,2019,n/a,$348.23M,ReplayAcquisitionCorp.,BusinessServices,RPLA
46,2019,n/a,n/a,ReplayAcquisitionCorp.,n/a,RPLA.U
47,n/a,n/a,n/a,ReplayAcquisitionCorp.,n/a,RPLA.WS
48,1986,UnitedStates,$3.39B,RepligenCorporation,Biotechnology:BiologicalProducts(NoDiagnosticSubstances),RGEN
49,2018,UnitedStates,$420.9M,"ReplimuneGroup,Inc.",Biotechnology:BiologicalProducts(NoDiagnosticSubstances),REPL
50,1998,UnitedStates,$969.25M,"RepublicBancorp,Inc.",MajorBanks,RBCAA
51,n/a,UnitedStates,$292.45M,"RepublicFirstBancorp,Inc.",MajorBanks,FRBK
52,1998,UnitedStates,$27.01B,"RepublicServices,Inc.",EnvironmentalServices,RSG
53,n/a,UnitedStates,$79.98M,ResearchFrontiersIncorporated,Multi-SectorCompanies,REFR
54,2018,n/a,$2.45B,"ResideoTechnologies,Inc.",WholesaleDistributors,REZI
55,n/a,UnitedStates,$16.25B,ResMedInc.,Medical/DentalInstruments,RMD
56,n/a,Canada,$600.29M,ResoluteForestProductsInc.,Paper,RFP
