,IPO year,country,market capital,name,subsector,symbol
0,n/a,UnitedStates,$252478.31,"SBFinancialGroup,Inc.",MajorBanks,SBFGP
1,n/a,UnitedStates,$208.93M,SBOneBancorp,MajorBanks,SBBX
2,1999,UnitedStates,$24.08B,SBACommunicationsCorporation,RealEstateInvestmentTrusts,SBAC
3,n/a,UnitedStates,$782.74M,"ScanSource,Inc.",Retail:ComputerSoftware&PeripheralEquipment,SCSC
4,n/a,France,$48.73B,SchlumbergerN.V.,OilfieldServices/Equipment,SLB
5,n/a,UnitedStates,$9.07M,"SchmittIndustries,Inc.",IndustrialMachinery/Components,SMIT
6,2017,UnitedStates,$1.62B,"SchneiderNational,Inc.",TruckingFreight/CourierServices,SNDR
7,1993,UnitedStates,$588.01M,"SchnitzerSteelIndustries,Inc.",IndustrialSpecialties,SCHN
8,2018,UnitedStates,$492.27M,ScholarRockHoldingCorporation,Biotechnology:BiologicalProducts(NoDiagnosticSubstances),SRRK
9,1992,UnitedStates,$1.29B,ScholasticCorporation,Books,SCHL
10,2019,UnitedStates,$160.88M,SchultzeSpecialPurposeAcquisitionCorp.,BusinessServices,SAMA
11,2018,UnitedStates,n/a,SchultzeSpecialPurposeAcquisitionCorp.,BusinessServices,SAMAU
12,2019,UnitedStates,n/a,SchultzeSpecialPurposeAcquisitionCorp.,BusinessServices,SAMAW
13,n/a,UnitedStates,$954.57M,"Schweitzer-MauduitInternational,Inc.",Paper,SWM
14,n/a,n/a,$4.59B,SCIENCEAPPLICATIONSINTERNATIONALCORPORATION,EDPServices,SAIC
15,n/a,UnitedStates,$1.73B,ScientificGamesCorp,EDPServices,SGMS
16,2019,UnitedStates,$2B,SciPlayCorporation,EDPServices,SCPL
17,2013,Monaco,$308.37M,ScorpioBulkersInc.,MarineTransportation,SALT
18,2014,Monaco,n/a,ScorpioBulkersInc.,MarineTransportation,SLTB
19,2014,Monaco,n/a,ScorpioTankersInc.,MarineTransportation,SBNA
20,2010,Monaco,$1.34B,ScorpioTankersInc.,MarineTransportation,STNG
21,1992,UnitedStates,$5.01B,ScottsMiracle-GroCompany(The),AgriculturalChemicals,SMG
22,2017,UnitedStates,$60.94M,scPharmaceuticalsInc.,MajorPharmaceuticals,SCPH
23,1988,UnitedStates,$442.41M,ScudderMunicipleIncomeTrust,n/a,KTF
24,1989,UnitedStates,$132.65M,ScudderStrategicMunicipleIncomeTrust,n/a,KSM
25,2016,UnitedStates,$33.52M,SCWorxCorp.,Services-Misc.Amusement&Recreation,WORX
26,2014,UnitedStates,$69.75M,"SCYNEXIS,Inc.",MajorPharmaceuticals,SCYX
27,2017,UnitedStates,$11.73B,SeaLimited,OtherConsumerServices,SE
28,1996,UnitedStates,$4.83B,SeaboardCorporation,InvestmentBankers/Brokers/Service,SEB
29,n/a,Canada,$709.09M,"SeabridgeGold,Inc.",PreciousMetals,SA
30,1996,UnitedStates,$47.96M,"SeaChangeInternational,Inc.",RadioAndTelevisionBroadcastingAndCommunicationsEquipment,SEAC
31,n/a,UnitedStates,$1.23B,SeacoastBankingCorporationofFlorida,MajorBanks,SBCF
32,n/a,UnitedStates,$786.95M,"SEACORHoldings,Inc.",MarineTransportation,CKH
33,2017,n/a,$297.22M,SEACORMarineHoldingsInc.,MarineTransportation,SMHI
34,2018,Bermuda,$431M,SeadrillLimited,Oil&GasProduction,SDRL
35,2012,UnitedKingdom,$38.47M,SeadrillPartnersLLC,Oil&GasProduction,SDLP
36,2002,Ireland,$12.16B,SeagateTechnologyPLC,ElectronicComponents,STX
37,n/a,UnitedStates,$6.42B,SealedAirCorporation,MajorChemicals,SEE
38,n/a,Greece,$2.92M,SeanergyMaritimeHoldingsCorp,MarineTransportation,SHIP
39,n/a,Greece,n/a,SeanergyMaritimeHoldingsCorp,MarineTransportation,SHIPW
40,n/a,Greece,$1.69M,SeanergyMaritimeHoldingsCorp,MarineTransportation,SHIPZ
41,n/a,UnitedStates,$49.94M,"SearsHometownandOutletStores,Inc.",Department/SpecialtyRetailStores,SHOS
42,2005,HongKong,$2.05B,SeaspanCorporation,MarineTransportation,SSW
43,n/a,HongKong,n/a,SeaspanCorporation,n/a,SSW^D
44,n/a,HongKong,n/a,SeaspanCorporation,n/a,SSW^E
45,n/a,HongKong,n/a,SeaspanCorporation,n/a,SSW^G
46,n/a,HongKong,n/a,SeaspanCorporation,n/a,SSW^H
47,n/a,HongKong,n/a,SeaspanCorporation,n/a,SSW^I
48,2017,HongKong,n/a,SeaspanCorporation,MarineTransportation,SSWA
49,n/a,UnitedStates,$264.75M,SeaSpineHoldingsCorporation,Medical/DentalInstruments,SPNE
50,2001,UnitedStates,$10.91B,"SeattleGenetics,Inc.",Biotechnology:BiologicalProducts(NoDiagnosticSubstances),SGEN
51,2013,UnitedStates,$2.67B,"SeaWorldEntertainment,Inc.",Services-Misc.Amusement&Recreation,SEAS
52,2014,UnitedStates,$97.04M,"SecondSightMedicalProducts,Inc.",Biotechnology:Electromedical&ElectrotherapeuticApparatus,EYES
53,n/a,UnitedStates,n/a,"SecondSightMedicalProducts,Inc.",Biotechnology:Electromedical&ElectrotherapeuticApparatus,EYESW
54,2017,China,$266.02M,SecooHoldingLimited,OtherSpecialtyStores,SECO
