,IPO year,country,market capital,name,subsector,symbol
0,n/a,Switzerland,$29.3B,TEConnectivityLtd.,ElectronicComponents,TEL
1,n/a,UnitedStates,$447.36M,"Team,Inc.",OtherConsumerServices,TISI
2,1986,UnitedStates,$3.58B,TechDataCorporation,Retail:ComputerSoftware&PeripheralEquipment,TECD
3,n/a,UnitedStates,$7.53M,TechnicalCommunicationsCorporation,RadioAndTelevisionBroadcastingAndCommunicationsEquipment,TCCO
4,n/a,n/a,$9.61B,TechnipFMCplc,MetalFabrications,FTI
5,2007,UnitedStates,$539.5M,"TechTarget,Inc.",BusinessServices,TTGT
6,n/a,Canada,$11.03B,TeckResourcesLtd,Mining&QuarryingofNonmetallicMinerals(NoFuels),TECK
7,2012,Colombia,$316.33M,TecnoglassInc.,ElectronicComponents,TGLS
8,2014,UnitedStates,$89.92M,TecogenInc.,IndustrialMachinery/Components,TGEN
9,2019,UnitedStates,$15.15M,"TectonicFinancial,Inc.",n/a,TECTP
10,n/a,Bermuda,$328.23M,TeekayCorporation,MarineTransportation,TK
11,2005,Bermuda,$1.07B,TeekayLNGPartnersL.P.,MarineTransportation,TGP
12,n/a,Bermuda,n/a,TeekayLNGPartnersL.P.,n/a,TGP^A
13,n/a,Bermuda,n/a,TeekayLNGPartnersL.P.,n/a,TGP^B
14,2006,Bermuda,$467.86M,TeekayOffshorePartnersL.P.,MarineTransportation,TOO
15,n/a,Bermuda,n/a,TeekayOffshorePartnersL.P.,n/a,TOO^A
16,n/a,Bermuda,n/a,TeekayOffshorePartnersL.P.,n/a,TOO^B
17,n/a,Bermuda,n/a,TeekayOffshorePartnersL.P.,n/a,TOO^E
18,2007,Bermuda,$317.42M,TeekayTankersLtd.,MarineTransportation,TNK
19,2015,UnitedStates,$887.53M,TEGNAInc.,Newspapers/Magazines,GCI
20,n/a,UnitedStates,$3.33B,TEGNAInc.,Broadcasting,TGNA
21,n/a,UnitedStates,$425.51M,TejonRanchCo,RealEstate,TRC
22,1987,UnitedStates,$809.98M,TeklaHealthcareInvestors,n/a,HQH
23,2014,UnitedStates,$687.04M,TeklaHealthcareOpportuniesFund,n/a,THQ
24,1992,UnitedStates,$359.77M,TeklaLifeSciencesInvestors,n/a,HQL
25,2015,UnitedStates,$363.68M,TeklaWorldHealthcareFund,n/a,THW
26,2015,UnitedStates,$4.16B,"TeladocHealth,Inc.",Medical/NursingServices,TDOC
27,2013,UnitedStates,$364.52M,"Telaria,Inc.",Advertising,TLRA
28,n/a,Argentina,$6.29B,TelecomArgentinaStet-FranceTelecomS.A.,TelecommunicationsEquipment,TEO
29,n/a,n/a,n/a,TelecomItaliaS.P.A.,n/a,TI.A
30,n/a,Italy,$106.17M,TelecomItaliaS.P.A.,TelecommunicationsEquipment,TI
31,n/a,UnitedStates,$8.59B,TeledyneTechnologiesIncorporated,IndustrialMachinery/Components,TDY
32,n/a,UnitedStates,$13.43B,TeleflexIncorporated,Medical/DentalInstruments,TFX
33,n/a,Brazil,$20.1B,TelefonicaBrasilS.A.,TelecommunicationsEquipment,VIV
34,1988,Spain,$41.33B,TelefonicaSA,TelecommunicationsEquipment,TEF
35,2010,UnitedStates,$341.86M,"Telenav,Inc.",IndustrialMachinery/Components,TNAV
36,n/a,UnitedStates,n/a,"TelephoneandDataSystems,Inc.",TelecommunicationsEquipment,TDA
37,n/a,UnitedStates,n/a,"TelephoneandDataSystems,Inc.",TelecommunicationsEquipment,TDE
38,n/a,UnitedStates,n/a,"TelephoneandDataSystems,Inc.",TelecommunicationsEquipment,TDI
39,n/a,UnitedStates,n/a,"TelephoneandDataSystems,Inc.",TelecommunicationsEquipment,TDJ
40,n/a,UnitedStates,$3.45B,"TelephoneandDataSystems,Inc.",TelecommunicationsEquipment,TDS
41,n/a,UnitedStates,$32.31M,"Teligent,Inc.",MajorPharmaceuticals,TLGT
42,n/a,UnitedStates,$2.1B,TellurianInc.,Oil&GasProduction,TELL
43,n/a,Canada,$22.28B,TELUSCorporation,TelecommunicationsEquipment,TU
44,n/a,UnitedStates,$618.86M,"TempletonDragonFund,Inc.",n/a,TDF
45,1987,UnitedStates,$238.3M,TempletonEmergingMarketsFund,n/a,EMF
46,1993,UnitedStates,$477.58M,"TempletonEmergingMarketsIncomeFund,Inc.",n/a,TEI
47,1988,UnitedStates,$843.77M,"TempletonGlobalIncomeFund,Inc.",n/a,GIM
48,2003,UnitedStates,$3.49B,"TempurSealyInternational,Inc.",HomeFurnishings,TPX
49,2018,UnitedStates,$2.7B,"TenableHoldings,Inc.",ComputerSoftware:PrepackagedSoftware,TENB
50,n/a,Luxembourg,$14.24B,TenarisS.A.,Steel/IronOre,TS
51,n/a,UnitedStates,$8.24M,"TenaxTherapeutics,Inc.",Biotechnology:CommercialPhysical&BiologicalResarch,TENX
52,2018,n/a,$22.05B,TencentMusicEntertainmentGroup,Broadcasting,TME
53,n/a,UnitedStates,$2.11B,TenetHealthcareCorporation,Hospital/NursingManagement,THC
54,n/a,UnitedStates,$9.69M,"Tengasco,Inc.",Oil&GasProduction,TGC
55,n/a,UnitedStates,$1.05B,TennantCompany,IndustrialMachinery/Components,TNC
56,n/a,UnitedStates,$613.51M,TennecoInc.,AutoParts:O.E.M.,TEN
57,n/a,UnitedStates,n/a,TennesseeValleyAuthority,ElectricUtilities:Central,TVC
58,n/a,UnitedStates,n/a,TennesseeValleyAuthority,ElectricUtilities:Central,TVE
59,2018,UnitedStates,$84.63M,TenzingAcquisitionCorp.,BusinessServices,TZAC
60,2018,UnitedStates,n/a,TenzingAcquisitionCorp.,BusinessServices,TZACU
61,2018,UnitedStates,n/a,TenzingAcquisitionCorp.,BusinessServices,TZACW
62,n/a,UnitedStates,$4.1B,TeradataCorporation,ComputerSoftware:PrepackagedSoftware,TDC
63,n/a,UnitedStates,$7.29B,"Teradyne,Inc.",ElectricalProducts,TER
64,n/a,UnitedStates,$1.97B,TerexCorporation,Construction/AgEquipment/Trucks,TEX
65,n/a,Luxembourg,$4.98B,TerniumS.A.,Steel/IronOre,TX
66,2014,UnitedStates,$2.87B,"TerraFormPower,Inc.",ElectricUtilities:Central,TERP
67,2010,UnitedStates,$2.88B,TerrenoRealtyCorporation,RealEstate,TRNO
68,2009,UnitedStates,$261.3M,TerritorialBancorpInc.,SavingsInstitutions,TBNK
69,2010,UnitedStates,$33.54B,"Tesla,Inc.",AutoManufacturing,TSLA
70,1994,UnitedStates,$150.56M,TESSCOTechnologiesIncorporated,ElectronicComponents,TESS
71,1991,UnitedStates,$3.68B,"TetraTech,Inc.",Military/Government/Technical,TTEK
72,n/a,UnitedStates,$204.74M,"TetraTechnologies,Inc.",Oil&GasProduction,TTI
73,2013,UnitedStates,$47.08M,"TetraphasePharmaceuticals,Inc.",MajorPharmaceuticals,TTPH
74,n/a,Israel,$9.66B,TevaPharmaceuticalIndustriesLimited,MajorPharmaceuticals,TEVA
75,2003,UnitedStates,$2.96B,"TexasCapitalBancshares,Inc.",MajorBanks,TCBI
76,n/a,UnitedStates,n/a,"TexasCapitalBancshares,Inc.",MajorBanks,TCBIL
77,n/a,UnitedStates,$157.2M,"TexasCapitalBancshares,Inc.",MajorBanks,TCBIP
78,n/a,UnitedStates,$98.92B,TexasInstrumentsIncorporated,Semiconductors,TXN
79,n/a,UnitedStates,$6.02B,TexasPacificLandTrust,Oil&GasProduction,TPL
80,2004,UnitedStates,$3.76B,"TexasRoadhouse,Inc.",Restaurants,TXRH
81,2007,Bermuda,$540.73M,TextainerGroupHoldingsLimited,DiversifiedCommercialServices,TGH
82,n/a,UnitedStates,$10.74B,TextronInc.,Aerospace,TXT
83,n/a,UnitedStates,$4.77B,TFSFinancialCorporation,SavingsInstitutions,TFSL
84,n/a,UnitedStates,$587.7M,"TGTherapeutics,Inc.",MajorPharmaceuticals,TGTX
85,n/a,UnitedStates,$10.55B,TheAESCorporation,ElectricUtilities:Central,AES
86,n/a,UnitedStates,$44.99M,TheAlkalineWaterCompanyInc.,FoodDistributors,WTER
87,n/a,UnitedStates,$886.6M,"TheAndersons,Inc.",Farming/Seeds/Milling,ANDE
88,n/a,UnitedStates,$518.94M,"TheBancorp,Inc.",MajorBanks,TBBK
89,n/a,UnitedStates,$189.57M,TheBankofPrinceton,n/a,BPRN
90,2007,UnitedStates,$46.96B,TheBlackstoneGroupL.P.,InvestmentManagers,BX
91,2012,UnitedStates,$6.9B,TheCarlyleGroupL.P.,InvestmentManagers,CG
92,n/a,UnitedStates,$380.48M,TheCarlyleGroupL.P.,InvestmentManagers,TCGP
93,n/a,UnitedStates,$172.57M,"TheCentralandEasternEuropeFund,Inc.",n/a,CEE
94,n/a,UnitedStates,$56.8B,TheCharlesSchwabCorporation,InvestmentBankers/Brokers/Service,SCHW
95,n/a,UnitedStates,n/a,TheCharlesSchwabCorporation,n/a,SCHW^C
96,n/a,UnitedStates,n/a,TheCharlesSchwabCorporation,n/a,SCHW^D
97,1992,UnitedStates,$1.99B,TheCheesecakeFactoryIncorporated,Restaurants,CAKE
98,2011,UnitedStates,$971.43M,"TheChefs'Warehouse,Inc.",FoodDistributors,CHEF
