,IPO year,country,market capital,name,subsector,symbol
0,n/a,UnitedStates,$2.11B,"UnitedCommunityBanks,Inc.",MajorBanks,UCBI
1,n/a,UnitedStates,$447.93M,UnitedCommunityFinancialCorp.,Banks,UCFC
2,n/a,UnitedStates,$20.91B,"UnitedContinentalHoldings,Inc.",AirFreight/DeliveryServices,UAL
3,n/a,UnitedStates,$675.41M,"UnitedFinancialBancorp,Inc.",Banks,UBNK
4,n/a,UnitedStates,$1.17B,"UnitedFireGroup,Inc",Property-CasualtyInsurers,UFCS
5,n/a,UnitedStates,$593.8M,UnitedInsuranceHoldingsCorp.,Property-CasualtyInsurers,UIHC
6,n/a,Taiwan,$4.75B,UnitedMicroelectronicsCorporation,Semiconductors,UMC
7,2019,UnitedStates,$554.95M,"UnitedNaturalFoods,Inc.",FoodDistributors,UNFI
8,1999,UnitedStates,$66.79B,"UnitedParcelService,Inc.",TruckingFreight/CourierServices,UPS
9,1997,UnitedStates,$9.06B,"UnitedRentals,Inc.",DiversifiedCommercialServices,URI
10,n/a,UnitedStates,$174.75M,UnitedSecurityBancshares,MajorBanks,UBFO
11,n/a,UnitedStates,$43.11M,UnitedStatesAntimonyCorporation,MetalFabrications,UAMY
12,1988,UnitedStates,$2.43B,UnitedStatesCellularCorporation,TelecommunicationsEquipment,USM
13,n/a,UnitedStates,n/a,UnitedStatesCellularCorporation,TelecommunicationsEquipment,UZA
14,2014,UnitedStates,n/a,UnitedStatesCellularCorporation,TelecommunicationsEquipment,UZB
15,2015,UnitedStates,n/a,UnitedStatesCellularCorporation,TelecommunicationsEquipment,UZC
16,n/a,UnitedStates,$456.14M,"UnitedStatesLime&Minerals,Inc.",Mining&QuarryingofNonmetallicMinerals(NoFuels),USLM
17,n/a,UnitedStates,$2.1B,UnitedStatesSteelCorporation,Steel/IronOre,X
18,n/a,UnitedStates,$110.72B,UnitedTechnologiesCorporation,Aerospace,UTX
19,1999,UnitedStates,$3.8B,UnitedTherapeuticsCorporation,MajorPharmaceuticals,UTHR
20,n/a,UnitedStates,$90.78M,"United-Guardian,Inc.",PackageGoods/Cosmetics,UG
21,n/a,UnitedStates,$231.41B,UnitedHealthGroupIncorporated,MedicalSpecialities,UNH
22,n/a,UnitedStates,$1.8B,UnitiGroupInc.,RealEstateInvestmentTrusts,UNIT
23,n/a,UnitedStates,$838.6M,UNITILCorporation,PowerGeneration,UTL
