,IPO year,country,market capital,name,subsector,symbol
0,2018,UnitedStates,n/a,VectoIQAcquisitionCorp.,BusinessServices,VTIQU
1,2018,UnitedStates,$16.3M,VectoIQAcquisitionCorp.,BusinessServices,VTIQW
2,n/a,UnitedStates,$1.29B,VectorGroupLtd.,Farming/Seeds/Milling,VGR
3,2014,UnitedStates,$408.15M,"Vectrus,Inc.",DiversifiedCommercialServices,VEC
4,2013,n/a,$8.74B,VedantaLimited,MetalFabrications,VEDL
5,1994,UnitedStates,$585.08M,VeecoInstrumentsInc.,IndustrialMachinery/Components,VECO
6,2013,n/a,$22.68B,VeevaSystemsInc.,ComputerSoftware:PrepackagedSoftware,VEEV
7,2017,n/a,$474.19M,VenatorMaterialsPLC,MajorChemicals,VNTR
8,n/a,UnitedStates,$22.99B,"Ventas,Inc.",RealEstateInvestmentTrusts,VTR
9,n/a,Netherlands,$4.02B,VEONLtd.,TelecommunicationsEquipment,VEON
10,2018,n/a,$1.84B,"Veoneer,Inc.",AutoParts:O.E.M.,VNE
11,2010,UnitedStates,$369.35M,"VeraBradley,Inc.",Apparel,VRA
12,2013,UnitedStates,$1.04B,"Veracyte,Inc.",MedicalSpecialities,VCYT
13,2012,UnitedStates,$97.52M,"Verastem,Inc.",MajorPharmaceuticals,VSTM
14,n/a,UnitedStates,$43.28M,"VerbTechnologyCompany,Inc.",OtherConsumerServices,VERB
15,n/a,UnitedStates,n/a,"VerbTechnologyCompany,Inc.",OtherConsumerServices,VERBW
16,n/a,UnitedStates,$8.41B,VEREITInc.,RealEstateInvestmentTrusts,VER
17,n/a,UnitedStates,n/a,VEREITInc.,n/a,VER^F
18,n/a,UnitedStates,$684.58M,VericelCorporation,Biotechnology:BiologicalProducts(NoDiagnosticSubstances),VCEL
19,2002,UnitedStates,$3.75B,VerintSystemsInc.,EDPServices,VRNT
20,1998,UnitedStates,$23.35B,"VeriSign,Inc.",EDPServices,VRSN
