,IPO year,country,market capital,name,subsector,symbol
0,n/a,UnitedStates,$1.02B,"WeisMarkets,Inc.",FoodChains,WMK
1,2016,n/a,$2.23B,"Welbilt,Inc.",IndustrialMachinery/Components,WBT
2,2004,UnitedStates,$13.91B,"WellCareHealthPlans,Inc.",MedicalSpecialities,WCG
3,2012,UnitedStates,$84.89M,"WellesleyBancorp,Inc.",Banks,WEBK
4,n/a,UnitedStates,$202.47B,WellsFargo&Company,MajorBanks,WFC
5,n/a,UnitedStates,n/a,WellsFargo&Company,n/a,WFC^L
6,n/a,UnitedStates,n/a,WellsFargo&Company,n/a,WFC^N
7,n/a,UnitedStates,n/a,WellsFargo&Company,n/a,WFC^O
8,n/a,UnitedStates,n/a,WellsFargo&Company,n/a,WFC^P
9,n/a,UnitedStates,n/a,WellsFargo&Company,n/a,WFC^Q
10,n/a,UnitedStates,n/a,WellsFargo&Company,n/a,WFC^R
11,n/a,UnitedStates,n/a,WellsFargo&Company,n/a,WFC^T
12,n/a,UnitedStates,n/a,WellsFargo&Company,n/a,WFC^V
13,n/a,UnitedStates,n/a,WellsFargo&Company,n/a,WFC^W
14,n/a,UnitedStates,n/a,WellsFargo&Company,n/a,WFC^X
15,n/a,UnitedStates,n/a,WellsFargo&Company,n/a,WFC^Y
16,n/a,UnitedStates,n/a,WellsFargo&Company,n/a,WFE^A
17,2007,UnitedStates,$239.97M,WellsFargoGlobalDividendOpportunityFund,n/a,EOD
18,2003,UnitedStates,$540.2M,WellsFargoIncomeOpportunitiesFund,n/a,EAD
19,2003,UnitedStates,$387.8M,WellsFargoMulti-SectorIncomeFund,n/a,ERC
20,2004,n/a,$116.64M,WellsFargoUtilitiesandHighIncomeFund,n/a,ERH
21,n/a,UnitedStates,$32.7B,WelltowerInc.,RealEstateInvestmentTrusts,WELL
22,n/a,UnitedStates,$4.25B,Wendy'sCompany(The),Restaurants,WEN
23,1986,UnitedStates,$1.97B,"WernerEnterprises,Inc.",TruckingFreight/CourierServices,WERN
24,n/a,UnitedStates,$1.98B,"WesBanco,Inc.",MajorBanks,WSBC
