,IPO year,country,market capital,name,subsector,symbol
0,2018,n/a,$668.6M,XFinancial,Finance:ConsumerServices,XYF
1,2017,UnitedStates,$190.29M,"X4Pharmaceuticals,Inc.",Biotechnology:BiologicalProducts(NoDiagnosticSubstances),XFOR
2,2017,UnitedStates,$77.65M,XAIOctagonFloatingRate&AlternativeIncomeTermTrust,n/a,XFLT
3,2015,UnitedStates,$327.91M,XBiotechInc.,MajorPharmaceuticals,XBIT
4,n/a,UnitedStates,$25.73M,"XcelBrands,Inc",Multi-SectorCompanies,XELB
5,n/a,UnitedStates,$29.52B,XcelEnergyInc.,PowerGeneration,XEL
6,2013,UnitedStates,$1.79B,"Xencor,Inc.",MajorPharmaceuticals,XNCR
7,n/a,UnitedStates,$7.62M,"XeneticBiosciences,Inc.",MajorPharmaceuticals,XBIO
8,2015,UnitedStates,$2.39B,"XeniaHotels&Resorts,Inc.",Hotels/Resorts,XHR
9,2014,Canada,$258.25M,XenonPharmaceuticalsInc.,MajorPharmaceuticals,XENE
10,2018,UnitedStates,$309.27M,"XerisPharmaceuticals,Inc.",MajorPharmaceuticals,XERS
11,n/a,UnitedStates,$7.09B,XeroxCorporation,Computerperipheralequipment,XRX
12,1990,UnitedStates,$26.78B,"Xilinx,Inc.",Semiconductors,XLNX
13,2007,China,$269.56M,XinyuanRealEstateCoLtd,Homebuilding,XIN
14,1986,UnitedStates,$158.61M,XOMACorporation,MajorPharmaceuticals,XOMA
15,n/a,UnitedStates,$1.03B,XperiCorporation,Semiconductors,XPER
16,n/a,UnitedStates,$4.78B,"XPOLogistics,Inc.",TransportationServices,XPO
17,n/a,UnitedStates,$3.87M,"XpresSpaGroup,Inc.",OtherConsumerServices,XSPA
18,n/a,UnitedStates,$45.52M,"XtantMedicalHoldings,Inc.",Biotechnology:BiologicalProducts(NoDiagnosticSubstances),XTNT
19,n/a,Israel,$10.61M,XTLBiopharmaceuticalsLtd.,MajorPharmaceuticals,XTLB
20,2014,China,$167.25M,XunleiLimited,ComputerSoftware:PrepackagedSoftware,XNET
21,2011,UnitedStates,$13.34B,XylemInc.,FluidControls,XYL
22,2017,China,$134.45M,"XynomicPharmaceuticalsHoldings,Inc.",MajorPharmaceuticals,XYN
