,IPO year,country,market capital,name,subsector,symbol
0,n/a,Canada,$1.78B,YamanaGoldInc.,PreciousMetals,AUY
1,2011,Netherlands,$11.85B,YandexN.V.,"ComputerSoftware:Programming,DataProcessing",YNDX
2,n/a,UnitedStates,$129.59M,YangtzeRiverPortandLogisticsLimited,RealEstate,YRIV
3,n/a,India,$190.01M,"YatraOnline,Inc.",TransportationServices,YTRA
4,2012,UnitedStates,$2.41B,YelpInc.,OtherConsumerServices,YELP
5,2018,UnitedStates,$2.18B,"YETIHoldings,Inc.",RecreationalProducts/Toys,YETI
6,2017,UnitedStates,$2.12B,"Yext,Inc.",EDPServices,YEXT
7,n/a,UnitedStates,$10.62M,"Yield10Bioscience,Inc.",Containers/Packaging,YTEN
8,2016,China,$379.38M,YintechInvestmentHoldingsLimited,InvestmentBankers/Brokers/Service,YIN
9,2015,China,$948.71M,YirendaiLtd.,Finance:ConsumerServices,YRD
10,2018,UnitedStates,$725.93M,"Y-mAbsTherapeutics,Inc.",MajorPharmaceuticals,YMAB
11,2017,UnitedStates,$10.88M,"YogaWorks,Inc.",OtherConsumerServices,YOGA
12,n/a,UnitedStates,$169.01M,"YoungevityInternational,Inc.",Catalog/SpecialtyDistribution,YGYI
13,1993,Argentina,$5.85B,YPFSociedadAnonima,IntegratedoilCompanies,YPF
14,n/a,UnitedStates,$154.88M,"YRCWorldwide,Inc.",TruckingFreight/CourierServices,YRCW
15,2016,UnitedStates,$14.87B,"YumChinaHoldings,Inc.",Restaurants,YUMC
16,n/a,UnitedStates,$31.07B,"Yum!Brands,Inc.",Restaurants,YUM
17,n/a,UnitedStates,$5.07M,"YumaEnergy,Inc.",Oil&GasProduction,YUMA
18,2019,China,$2.38B,YunjiInc.,n/a,YJ
19,2012,China,$5.54B,YYInc.,EDPServices,YY
20,n/a,Canada,$1.78B,YamanaGoldInc.,PreciousMetals,AUY
21,2011,Netherlands,$11.85B,YandexN.V.,"ComputerSoftware:Programming,DataProcessing",YNDX
22,n/a,UnitedStates,$129.59M,YangtzeRiverPortandLogisticsLimited,RealEstate,YRIV
23,n/a,India,$190.01M,"YatraOnline,Inc.",TransportationServices,YTRA
24,2012,UnitedStates,$2.41B,YelpInc.,OtherConsumerServices,YELP
25,2018,UnitedStates,$2.18B,"YETIHoldings,Inc.",RecreationalProducts/Toys,YETI
26,2017,UnitedStates,$2.12B,"Yext,Inc.",EDPServices,YEXT
27,n/a,UnitedStates,$10.62M,"Yield10Bioscience,Inc.",Containers/Packaging,YTEN
28,2016,China,$379.38M,YintechInvestmentHoldingsLimited,InvestmentBankers/Brokers/Service,YIN
29,2015,China,$948.71M,YirendaiLtd.,Finance:ConsumerServices,YRD
30,2018,UnitedStates,$725.93M,"Y-mAbsTherapeutics,Inc.",MajorPharmaceuticals,YMAB
31,2017,UnitedStates,$10.88M,"YogaWorks,Inc.",OtherConsumerServices,YOGA
32,n/a,UnitedStates,$169.01M,"YoungevityInternational,Inc.",Catalog/SpecialtyDistribution,YGYI
33,1993,Argentina,$5.85B,YPFSociedadAnonima,IntegratedoilCompanies,YPF
34,n/a,UnitedStates,$154.88M,"YRCWorldwide,Inc.",TruckingFreight/CourierServices,YRCW
35,2016,UnitedStates,$14.87B,"YumChinaHoldings,Inc.",Restaurants,YUMC
36,n/a,UnitedStates,$31.07B,"Yum!Brands,Inc.",Restaurants,YUM
37,n/a,UnitedStates,$5.07M,"YumaEnergy,Inc.",Oil&GasProduction,YUMA
38,2019,China,$2.38B,YunjiInc.,n/a,YJ
39,2012,China,$5.54B,YYInc.,EDPServices,YY
40,n/a,Canada,$1.78B,YamanaGoldInc.,PreciousMetals,AUY
41,2011,Netherlands,$11.85B,YandexN.V.,"ComputerSoftware:Programming,DataProcessing",YNDX
42,n/a,UnitedStates,$129.59M,YangtzeRiverPortandLogisticsLimited,RealEstate,YRIV
43,n/a,India,$190.01M,"YatraOnline,Inc.",TransportationServices,YTRA
44,2012,UnitedStates,$2.41B,YelpInc.,OtherConsumerServices,YELP
45,2018,UnitedStates,$2.18B,"YETIHoldings,Inc.",RecreationalProducts/Toys,YETI
46,2017,UnitedStates,$2.12B,"Yext,Inc.",EDPServices,YEXT
47,n/a,UnitedStates,$10.62M,"Yield10Bioscience,Inc.",Containers/Packaging,YTEN
48,2016,China,$379.38M,YintechInvestmentHoldingsLimited,InvestmentBankers/Brokers/Service,YIN
49,2015,China,$948.71M,YirendaiLtd.,Finance:ConsumerServices,YRD
50,2018,UnitedStates,$725.93M,"Y-mAbsTherapeutics,Inc.",MajorPharmaceuticals,YMAB
51,2017,UnitedStates,$10.88M,"YogaWorks,Inc.",OtherConsumerServices,YOGA
52,n/a,UnitedStates,$169.01M,"YoungevityInternational,Inc.",Catalog/SpecialtyDistribution,YGYI
53,1993,Argentina,$5.85B,YPFSociedadAnonima,IntegratedoilCompanies,YPF
54,n/a,UnitedStates,$154.88M,"YRCWorldwide,Inc.",TruckingFreight/CourierServices,YRCW
55,2016,UnitedStates,$14.87B,"YumChinaHoldings,Inc.",Restaurants,YUMC
56,n/a,UnitedStates,$31.07B,"Yum!Brands,Inc.",Restaurants,YUM
57,n/a,UnitedStates,$5.07M,"YumaEnergy,Inc.",Oil&GasProduction,YUMA
58,2019,China,$2.38B,YunjiInc.,n/a,YJ
59,2012,China,$5.54B,YYInc.,EDPServices,YY
60,n/a,Canada,$1.78B,YamanaGoldInc.,PreciousMetals,AUY
61,2011,Netherlands,$11.85B,YandexN.V.,"ComputerSoftware:Programming,DataProcessing",YNDX
62,n/a,UnitedStates,$129.59M,YangtzeRiverPortandLogisticsLimited,RealEstate,YRIV
63,n/a,India,$190.01M,"YatraOnline,Inc.",TransportationServices,YTRA
64,2012,UnitedStates,$2.41B,YelpInc.,OtherConsumerServices,YELP
65,2018,UnitedStates,$2.18B,"YETIHoldings,Inc.",RecreationalProducts/Toys,YETI
66,2017,UnitedStates,$2.12B,"Yext,Inc.",EDPServices,YEXT
67,n/a,UnitedStates,$10.62M,"Yield10Bioscience,Inc.",Containers/Packaging,YTEN
68,2016,China,$379.38M,YintechInvestmentHoldingsLimited,InvestmentBankers/Brokers/Service,YIN
69,2015,China,$948.71M,YirendaiLtd.,Finance:ConsumerServices,YRD
70,2018,UnitedStates,$725.93M,"Y-mAbsTherapeutics,Inc.",MajorPharmaceuticals,YMAB
71,2017,UnitedStates,$10.88M,"YogaWorks,Inc.",OtherConsumerServices,YOGA
72,n/a,UnitedStates,$169.01M,"YoungevityInternational,Inc.",Catalog/SpecialtyDistribution,YGYI
73,1993,Argentina,$5.85B,YPFSociedadAnonima,IntegratedoilCompanies,YPF
74,n/a,UnitedStates,$154.88M,"YRCWorldwide,Inc.",TruckingFreight/CourierServices,YRCW
75,2016,UnitedStates,$14.87B,"YumChinaHoldings,Inc.",Restaurants,YUMC
76,n/a,UnitedStates,$31.07B,"Yum!Brands,Inc.",Restaurants,YUM
77,n/a,UnitedStates,$5.07M,"YumaEnergy,Inc.",Oil&GasProduction,YUMA
78,2019,China,$2.38B,YunjiInc.,n/a,YJ
79,2012,China,$5.54B,YYInc.,EDPServices,YY
