,IPO year,country,market capital,name,subsector,symbol
0,2014,UnitedStates,$71.29M,"Zafgen,Inc.",MajorPharmaceuticals,ZFGN
1,n/a,UnitedStates,$193.88M,ZAGGInc,OtherSpecialtyStores,ZAGG
2,2017,China,$1.53B,ZaiLabLimited,MajorPharmaceuticals,ZLAB
3,2014,UnitedStates,$7.66B,"ZayoGroupHoldings,Inc.",TelecommunicationsEquipment,ZAYO
4,2017,Denmark,$661.08M,ZealandPharmaA/S,MajorPharmaceuticals,ZEAL
5,1991,UnitedStates,$9.17B,ZebraTechnologiesCorporation,IndustrialMachinery/Components,ZBRA
6,2016,n/a,$23.59M,"Zedge,Inc.",ComputerSoftware:PrepackagedSoftware,ZDGE
7,2014,n/a,$9.28B,"Zendesk,Inc.",EDPServices,ZEN
8,n/a,UnitedStates,$6.15B,"ZillowGroup,Inc.",BusinessServices,Z
9,2011,UnitedStates,$8.84B,"ZillowGroup,Inc.",BusinessServices,ZG
10,n/a,UnitedStates,$23.12B,"ZimmerBiometHoldings,Inc.",IndustrialSpecialties,ZBH
11,n/a,UnitedStates,$33.57M,ZionOil&GasInc,Oil&GasProduction,ZN
12,n/a,UnitedStates,n/a,ZionOil&GasInc,Oil&GasProduction,ZNWAA
13,n/a,UnitedStates,n/a,ZionsBancorporationN.A.,n/a,ZB^A
14,n/a,UnitedStates,n/a,ZionsBancorporationN.A.,n/a,ZB^G
15,n/a,UnitedStates,n/a,ZionsBancorporationN.A.,n/a,ZB^H
16,n/a,UnitedStates,n/a,ZionsBancorporationN.A.,MajorBanks,ZBK
17,n/a,UnitedStates,$8.03B,ZionsBancorporationN.A.,MajorBanks,ZION
18,n/a,UnitedStates,n/a,ZionsBancorporationN.A.,MajorBanks,ZIONW
19,n/a,UnitedStates,$721.03M,ZIOPHARMOncologyInc,MajorPharmaceuticals,ZIOP
20,n/a,UnitedStates,$511.04M,ZixCorporation,EDPServices,ZIXI
21,2017,China,$22.52M,"ZKInternationalGroupCo.,Ltd",MetalFabrications,ZKIN
22,2013,UnitedStates,$48.98B,ZoetisInc.,MajorPharmaceuticals,ZTS
23,2010,UnitedStates,$1.58B,"Zogenix,Inc.",MajorPharmaceuticals,ZGNX
24,2017,UnitedStates,$32.95M,ZomedicaPharmaceuticalsCorp.,MajorPharmaceuticals,ZOM
25,2019,UnitedStates,$20.62B,"ZoomVideoCommunications,Inc.","ComputerSoftware:Programming,DataProcessing",ZM
26,2015,UnitedStates,$51.75M,ZosanoPharmaCorporation,MajorPharmaceuticals,ZSAN
27,n/a,UnitedStates,$125.7M,ZovioInc.,OtherConsumerServices,ZVO
28,2018,UnitedStates,$9.06B,"Zscaler,Inc.",EDPServices,ZS
29,2016,China,$14.22B,ZTOExpress(Cayman)Inc.,TruckingFreight/CourierServices,ZTO
30,2005,UnitedStates,$510.8M,ZumiezInc.,Clothing/Shoe/AccessoryStores,ZUMZ
31,2018,n/a,$2.2B,"Zuora,Inc.",ComputerSoftware:PrepackagedSoftware,ZUO
32,2017,Canada,$601.87M,ZymeworksInc.,MajorPharmaceuticals,ZYME
33,2015,UnitedStates,$265.33M,"ZynerbaPharmaceuticals,Inc.",MajorPharmaceuticals,ZYNE
34,n/a,UnitedStates,$234.74M,"Zynex,Inc.",Biotechnology:Electromedical&ElectrotherapeuticApparatus,ZYXI
35,2011,UnitedStates,$5.86B,ZyngaInc.,EDPServices,ZNGA
36,2014,UnitedStates,$71.29M,"Zafgen,Inc.",MajorPharmaceuticals,ZFGN
37,n/a,UnitedStates,$193.88M,ZAGGInc,OtherSpecialtyStores,ZAGG
38,2017,China,$1.53B,ZaiLabLimited,MajorPharmaceuticals,ZLAB
39,2014,UnitedStates,$7.66B,"ZayoGroupHoldings,Inc.",TelecommunicationsEquipment,ZAYO
40,2017,Denmark,$661.08M,ZealandPharmaA/S,MajorPharmaceuticals,ZEAL
41,1991,UnitedStates,$9.17B,ZebraTechnologiesCorporation,IndustrialMachinery/Components,ZBRA
42,2016,n/a,$23.59M,"Zedge,Inc.",ComputerSoftware:PrepackagedSoftware,ZDGE
43,2014,n/a,$9.28B,"Zendesk,Inc.",EDPServices,ZEN
44,n/a,UnitedStates,$6.15B,"ZillowGroup,Inc.",BusinessServices,Z
45,2011,UnitedStates,$8.84B,"ZillowGroup,Inc.",BusinessServices,ZG
46,n/a,UnitedStates,$23.12B,"ZimmerBiometHoldings,Inc.",IndustrialSpecialties,ZBH
47,n/a,UnitedStates,$33.57M,ZionOil&GasInc,Oil&GasProduction,ZN
48,n/a,UnitedStates,n/a,ZionOil&GasInc,Oil&GasProduction,ZNWAA
49,n/a,UnitedStates,n/a,ZionsBancorporationN.A.,n/a,ZB^A
50,n/a,UnitedStates,n/a,ZionsBancorporationN.A.,n/a,ZB^G
51,n/a,UnitedStates,n/a,ZionsBancorporationN.A.,n/a,ZB^H
52,n/a,UnitedStates,n/a,ZionsBancorporationN.A.,MajorBanks,ZBK
53,n/a,UnitedStates,$8.03B,ZionsBancorporationN.A.,MajorBanks,ZION
54,n/a,UnitedStates,n/a,ZionsBancorporationN.A.,MajorBanks,ZIONW
55,n/a,UnitedStates,$721.03M,ZIOPHARMOncologyInc,MajorPharmaceuticals,ZIOP
56,n/a,UnitedStates,$511.04M,ZixCorporation,EDPServices,ZIXI
57,2017,China,$22.52M,"ZKInternationalGroupCo.,Ltd",MetalFabrications,ZKIN
58,2013,UnitedStates,$48.98B,ZoetisInc.,MajorPharmaceuticals,ZTS
59,2010,UnitedStates,$1.58B,"Zogenix,Inc.",MajorPharmaceuticals,ZGNX
60,2017,UnitedStates,$32.95M,ZomedicaPharmaceuticalsCorp.,MajorPharmaceuticals,ZOM
61,2019,UnitedStates,$20.62B,"ZoomVideoCommunications,Inc.","ComputerSoftware:Programming,DataProcessing",ZM
62,2015,UnitedStates,$51.75M,ZosanoPharmaCorporation,MajorPharmaceuticals,ZSAN
63,n/a,UnitedStates,$125.7M,ZovioInc.,OtherConsumerServices,ZVO
64,2018,UnitedStates,$9.06B,"Zscaler,Inc.",EDPServices,ZS
65,2016,China,$14.22B,ZTOExpress(Cayman)Inc.,TruckingFreight/CourierServices,ZTO
66,2005,UnitedStates,$510.8M,ZumiezInc.,Clothing/Shoe/AccessoryStores,ZUMZ
67,2018,n/a,$2.2B,"Zuora,Inc.",ComputerSoftware:PrepackagedSoftware,ZUO
68,2017,Canada,$601.87M,ZymeworksInc.,MajorPharmaceuticals,ZYME
69,2015,UnitedStates,$265.33M,"ZynerbaPharmaceuticals,Inc.",MajorPharmaceuticals,ZYNE
70,n/a,UnitedStates,$234.74M,"Zynex,Inc.",Biotechnology:Electromedical&ElectrotherapeuticApparatus,ZYXI
71,2011,UnitedStates,$5.86B,ZyngaInc.,EDPServices,ZNGA
72,2014,UnitedStates,$71.29M,"Zafgen,Inc.",MajorPharmaceuticals,ZFGN
